Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2025-04-10,10000.0,CASH,no change,no change,15:55,SPXS,SPXS,9999.0,-1.0,-0.01,0.01
2025-04-11,9999.0,SPXS,08:01,SQQQ,no change,no change,CASH,9485.87,-513.13,-5.13,5.14
2025-04-14,9485.87,CASH,no change,no change,15:55,SPXS,SPXS,9484.92,-0.95,-0.01,5.15
2025-04-15,9484.92,SPXS,no change,no change,15:55,SQQQ,SPXS,9548.92,64.0,0.67,4.51
2025-04-16,9548.92,SQQQ,no change,no change,15:55,TMV,TMV,10322.63,773.71,8.1,0.0
2025-04-17,10322.63,TMV,no change,no change,no change,no change,TMV,10445.28,122.65,1.19,0.0
2025-04-21,10445.28,TMV,no change,no change,no change,no change,TMV,11078.25,632.97,6.06,0.0
2025-04-22,11078.25,TMV,no change,no change,15:55,SPXS,SPXS,10588.86,-489.39,-4.42,4.42
2025-04-23,10588.86,SPXS,06:59,SPXS,15:55,SQQQ,SQQQ,9761.19,-827.68,-7.82,11.89
2025-04-24,9761.19,SQQQ,10:35,SQQQ,15:55,SPXS,SPXS,9516.67,-244.52,-2.51,14.1
2025-04-25,9516.67,SPXS,no change,no change,15:55,SPXL,SPXL,9427.72,-88.95,-0.93,14.9
2025-04-28,9427.72,TMF,08:00,TQQQ,15:55,SPXS,SPXS,9456.77,29.05,0.31,14.64
2025-04-29,9456.77,SPXS,no change,no change,15:55,TMV,TMV,9331.5,-125.27,-1.32,15.77
2025-04-30,9331.5,SQQQ,18:05,SQQQ,15:55,SPXL,TMF,9207.33,-124.17,-1.33,16.89
2025-05-01,9207.33,TQQQ,09:41,TQQQ,15:55,TQQQ,SPXL,9260.45,53.12,0.58,16.41
2025-05-02,9260.45,SPXL,no change,no change,no change,no change,SPXL,9418.23,157.78,1.7,14.98
2025-05-05,9418.23,SPXL,15:54,TQQQ,15:55,SOXL,SPXL,9249.13,-169.11,-1.8,16.51
2025-05-06,9249.13,SPXL,08:00,TQQQ,15:55,SPXS,SPXS,9019.14,-229.99,-2.49,18.59
2025-05-07,9019.14,SPXS,no change,no change,15:55,TMV,SPXS,8954.32,-64.82,-0.72,19.17
2025-05-08,8954.32,TMV,no change,no change,15:55,SOXL,SOXL,8998.57,44.25,0.49,18.77
2025-05-09,8998.57,SOXL,07:27,TQQQ,15:55,TQQQ,SOXL,9055.18,56.6,0.63,18.26
2025-05-12,9055.18,SOXL,04:00,SOXL,15:55,SOXL,SOXL,9899.92,844.74,9.33,10.64
2025-05-13,9899.92,SPXL,13:56,SOXL,15:55,SOXL,SOXL,10424.09,524.17,5.29,5.9
2025-05-14,10424.09,SOXL,no change,no change,no change,no change,TQQQ,10528.12,104.03,1.0,4.97
2025-05-15,10528.12,TQQQ,08:00,TQQQ,15:55,TQQQ,TQQQ,10399.87,-128.25,-1.22,6.12
2025-05-16,10399.87,TQQQ,10:41,TQQQ,15:55,TQQQ,SPXL,10465.77,65.9,0.63,5.53
2025-05-19,10465.77,SPXL,12:10,TQQQ,15:55,TQQQ,SPXL,10327.6,-138.17,-1.32,6.78
2025-05-20,10327.6,SPXL,14:28,TQQQ,15:55,TQQQ,SPXL,10196.84,-130.77,-1.27,7.96
2025-05-21,10196.84,SPXL,08:00,TQQQ,15:55,TQQQ,SPXL,9790.93,-405.9,-3.98,11.62
2025-05-22,9790.93,SPXL,07:59,TQQQ,15:55,TQQQ,SPXL,9665.89,-125.04,-1.28,12.75
2025-05-23,9665.89,SPXL,07:20,TQQQ,15:55,TQQQ,SPXL,9372.56,-293.33,-3.03,15.4
2025-05-27,9372.56,SPXL,15:31,SOXL,15:55,SOXL,SPXL,9944.9,572.34,6.11,10.23
2025-05-28,9944.9,SPXL,14:52,TQQQ,15:55,TQQQ,SPXL,9833.64,-111.26,-1.12,11.23
2025-05-29,9833.64,SOXL,07:24,SOXL,15:55,SOXL,TQQQ,10257.98,424.34,4.32,7.4
2025-05-30,10257.98,TQQQ,08:11,TQQQ,15:55,TQQQ,SPXL,10043.9,-214.09,-2.09,9.34
2025-06-02,10043.9,SPXL,09:53,TQQQ,15:55,TQQQ,SPXL,10136.42,92.52,0.92,8.5
