Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2026-02-27,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.0,-1.0,-0.01,0.01,,1.7999
2026-03-02,9999.0,SOXS,no change,no change,no change,no change,SOXS,9999.56,0.56,0.01,0.0,,
2026-03-03,9999.56,SOXS,no change,no change,no change,no change,SOXS,11499.69,1500.14,15.0,0.0,,
2026-03-04,11499.69,SOXS,no change,no change,no change,no change,SOXS,10749.84,-749.86,-6.52,6.52,,
2026-03-05,10749.84,SOXS,13:08,SOXS,15:55,SOXS,SOXS,11567.3,817.47,7.6,0.0,41.76,40.4
2026-03-06,11567.3,SOXS,09:30,SOXS,15:55,SOXL,SOXL,12286.97,719.67,6.22,0.0,43.2286,47.66
2026-03-09,12286.97,SOXL,15:41,SOXL,15:55,SOXL,SOXL,13584.72,1297.75,10.56,0.0,52.72,52.975
2026-03-10,13584.72,SOXL,14:14,SOXL,15:55,SOXL,SOXL,14517.66,932.94,6.87,0.0,56.14,54.165
2026-03-11,14517.66,SOXL,no change,no change,15:55,SOXS,SOXS,15037.3,519.64,3.58,0.0,,37.8201
2026-03-12,15037.3,SOXS,10:02,SOXS,15:55,SOXL,SOXL,16237.66,1200.36,7.98,0.0,40.685,50.09
2026-03-13,16237.66,SOXL,no change,no change,no change,no change,SOXL,16351.12,113.46,0.7,0.0,,
2026-03-16,16351.12,SOXL,10:38,SOXL,15:55,SOXL,SOXL,17589.95,1238.83,7.58,0.0,54.12,53.71
2026-03-17,17589.95,SOXL,no change,no change,no change,no change,SOXL,17943.65,353.7,2.01,0.0,,
2026-03-18,17943.65,SOXL,no change,no change,no change,no change,SOXL,17835.58,-108.07,-0.6,0.6,,
2026-03-19,17835.58,SOXL,no change,no change,no change,no change,SOXL,18009.15,173.57,0.97,0.0,,
2026-03-20,18009.15,SOXL,no change,no change,no change,no change,SOXL,16618.92,-1390.23,-7.72,7.72,,
2026-03-23,16618.92,SOXL,07:13,SOXL,15:55,SOXS,SOXS,17777.0,1158.08,6.97,1.29,55.4,38.94
2026-03-24,17777.0,SOXS,11:25,SOXS,no change,no change,CASH,16881.95,-895.06,-5.03,6.26,36.7,
2026-03-25,16881.95,CASH,no change,no change,15:55,SOXS,SOXS,16880.26,-1.69,-0.01,6.27,,36.015
2026-03-26,16880.26,SOXS,11:05,SOXS,15:55,SOXL,SOXL,18346.44,1466.18,8.69,0.0,39.225,48.99
2026-03-27,18346.44,SOXL,no change,no change,no change,no change,SOXL,17447.65,-898.78,-4.9,4.9,,
2026-03-30,17447.65,SOXL,no change,no change,no change,no change,SOXL,15277.46,-2170.19,-12.44,16.73,,
2026-03-31,15277.46,SOXL,10:07,SOXL,15:55,SOXL,SOXL,16420.13,1142.67,7.48,10.5,43.8809,47.945
2026-04-01,16420.13,SOXL,09:43,SOXL,15:55,SOXL,SOXL,17509.61,1089.48,6.64,4.56,51.08,52.205
2026-04-02,17509.61,SOXL,no change,no change,no change,no change,SOXL,17697.44,187.82,1.07,3.54,,
2026-04-06,17697.44,SOXL,no change,no change,no change,no change,SOXL,18348.11,650.68,3.68,0.0,,
2026-04-07,18348.11,SOXL,19:33,SOXL,15:55,SOXL,SOXL,21219.46,2871.35,15.65,0.0,63.06,56.375
2026-04-08,21219.46,SOXL,04:03,SOXL,15:55,SOXL,SOXL,24080.58,2861.12,13.48,0.0,64.33,67.35
2026-04-09,24080.58,SOXL,no change,no change,no change,no change,SOXL,25716.35,1635.76,6.79,0.0,,
2026-04-10,25716.35,SOXL,no change,no change,no change,no change,SOXL,27328.87,1612.52,6.27,0.0,,
