Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2024-04-10,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.0,-1.0,-0.01,0.01,,3.435
2024-04-11,9999.0,SOXS,no change,no change,no change,no change,SOXS,9358.55,-640.45,-6.41,6.41,,
2024-04-12,9358.55,SOXS,no change,no change,no change,no change,SOXS,10275.53,916.98,9.8,0.0,,
2024-04-15,10275.53,SOXS,no change,no change,no change,no change,SOXS,10645.17,369.64,3.6,0.0,,
2024-04-16,10645.17,SOXS,no change,no change,no change,no change,SOXS,10380.37,-264.8,-2.49,2.49,,
2024-04-17,10380.37,SOXS,no change,no change,15:55,SOXL,SOXL,11338.68,958.31,9.23,0.0,,37.11
2024-04-18,11338.68,SOXL,no change,no change,no change,no change,SOXL,10599.75,-738.93,-6.52,6.52,,
2024-04-19,10599.75,SOXL,no change,no change,no change,no change,SOXL,9390.84,-1208.91,-11.41,17.18,,
2024-04-22,9390.84,SOXL,15:34,SOXL,15:55,SOXL,SOXL,9835.61,444.77,4.74,13.26,32.14,31.946
2024-04-23,9835.61,SOXL,10:50,SOXL,15:55,SOXL,SOXL,10398.87,563.26,5.73,8.29,33.82,34.09
2024-04-24,10398.87,SOXL,08:00,SOXL,15:55,SOXL,SOXL,10932.5,533.64,5.13,3.58,36.55,35.66
2024-04-25,10932.5,SOXL,14:44,SOXL,15:55,SOXL,SOXL,11377.23,444.73,4.07,0.0,37.129,37.4299
2024-04-26,11377.23,SOXL,no change,no change,no change,no change,SOXL,12058.54,681.3,5.99,0.0,,
2024-04-29,12058.54,SOXL,no change,no change,15:55,SOXS,SOXS,12332.82,274.29,2.27,0.0,,34.48
2024-04-30,12332.82,SOXS,no change,no change,15:55,SOXL,SOXL,13047.39,714.56,5.79,0.0,,38.25
2024-05-01,13047.39,SOXL,no change,no change,no change,no change,SOXL,11717.1,-1330.29,-10.2,10.2,,
2024-05-02,11717.1,SOXL,15:49,SOXL,15:55,SOXL,SOXL,12335.12,618.02,5.27,5.46,36.18,36.36
2024-05-03,12335.12,SOXL,09:33,SOXL,15:55,SOXS,SOXS,12961.28,626.16,5.08,0.66,38.21,35.13
2024-05-06,12961.28,SOXS,no change,no change,no change,no change,SOXS,12204.97,-756.31,-5.84,6.46,,
2024-05-07,12204.97,SOXS,no change,no change,15:55,SOXL,SOXL,12451.44,246.48,2.02,4.57,,40.38
2024-05-08,12451.44,SOXL,no change,no change,no change,no change,SOXL,12460.9,9.46,0.08,4.5,,
2024-05-09,12460.9,SOXL,no change,no change,no change,no change,SOXL,12277.13,-183.77,-1.47,5.9,,
2024-05-10,12277.13,SOXL,no change,no change,15:55,SOXS,SOXS,12676.71,399.59,3.25,2.84,,33.1499
2024-05-13,12676.71,SOXS,no change,no change,no change,no change,SOXS,12619.23,-57.48,-0.45,3.28,,
2024-05-14,12619.23,SOXS,no change,no change,no change,no change,SOXS,11988.37,-630.86,-5.0,8.12,,
2024-05-15,11988.37,SOXS,no change,no change,no change,no change,SOXS,11036.31,-952.06,-7.94,15.41,,
2024-05-16,11036.31,SOXS,no change,no change,no change,no change,SOXS,11166.23,129.92,1.18,14.42,,
2024-05-17,11166.23,SOXS,no change,no change,no change,no change,SOXS,11391.7,225.47,2.02,12.69,,
2024-05-20,11391.7,SOXS,no change,no change,no change,no change,SOXS,10680.48,-711.22,-6.24,18.14,,
2024-05-21,10680.48,SOXS,no change,no change,no change,no change,SOXS,10700.33,19.86,0.19,17.99,,
2024-05-22,10700.33,SOXS,no change,no change,no change,no change,SOXS,10416.66,-283.67,-2.65,20.16,,
2024-05-23,10416.66,SOXS,no change,no change,no change,no change,SOXS,10588.53,171.87,1.65,18.85,,
2024-05-24,10588.53,SOXS,no change,no change,no change,no change,SOXS,9965.45,-623.08,-5.88,23.62,,
2024-05-28,9965.45,SOXS,no change,no change,no change,no change,SOXS,9517.91,-447.54,-4.49,27.05,,
2024-05-29,9517.91,SOXS,no change,no change,no change,no change,SOXS,10028.52,510.62,5.36,23.14,,
2024-05-30,10028.52,SOXS,no change,no change,no change,no change,SOXS,10190.98,162.46,1.62,21.89,,
2024-05-31,10190.98,SOXS,no change,no change,no change,no change,SOXS,10600.28,409.3,4.02,18.76,,
2024-06-03,10600.28,SOXS,no change,no change,15:55,SOXL,SOXL,10542.73,-57.55,-0.54,19.2,,48.36
2024-06-04,10542.73,SOXL,no change,no change,no change,no change,SOXL,10365.46,-177.26,-1.68,20.56,,
2024-06-05,10365.46,SOXL,no change,no change,no change,no change,SOXL,11709.54,1344.08,12.97,10.25,,
2024-06-06,11709.54,SOXL,no change,no change,no change,no change,SOXL,11500.11,-209.43,-1.79,11.86,,
2024-06-07,11500.11,SOXL,no change,no change,no change,no change,SOXL,11324.98,-175.13,-1.52,13.2,,
2024-06-10,11324.98,SOXL,no change,no change,no change,no change,SOXL,11772.41,447.42,3.95,9.77,,
2024-06-11,11772.41,SOXL,no change,no change,no change,no change,SOXL,11810.11,37.7,0.32,9.48,,
2024-06-12,11810.11,SOXL,08:43,SOXL,15:55,SOXL,SOXL,12378.98,568.87,4.82,5.12,57.42,59.025
2024-06-13,12378.98,SOXL,no change,no change,no change,no change,SOXL,12776.0,397.02,3.21,2.08,,
2024-06-14,12776.0,SOXL,no change,no change,no change,no change,SOXL,12525.39,-250.61,-1.96,4.0,,
2024-06-17,12525.39,SOXL,no change,no change,no change,no change,SOXL,13229.78,704.39,5.62,0.0,,
2024-06-18,13229.78,SOXL,no change,no change,no change,no change,SOXL,13716.07,486.29,3.68,0.0,,
2024-06-20,13716.07,SOXL,no change,no change,no change,no change,SOXL,12677.21,-1038.86,-7.57,7.57,,
2024-06-21,12677.21,SOXL,no change,no change,no change,no change,SOXL,12179.35,-497.86,-3.93,11.2,,
2024-06-24,12179.35,SOXL,no change,no change,15:55,SOXS,SOXS,11167.24,-1012.11,-8.31,18.58,,23.995
2024-06-25,11167.24,SOXS,no change,no change,no change,no change,SOXS,10706.92,-460.32,-4.12,21.94,,
2024-06-26,10706.92,SOXS,no change,no change,no change,no change,SOXS,10787.0,80.08,0.75,21.36,,
2024-06-27,10787.0,SOXS,no change,no change,no change,no change,SOXS,11053.12,266.13,2.47,19.41,,
2024-06-28,11053.12,SOXS,no change,no change,no change,no change,SOXS,10636.24,-416.88,-3.77,22.45,,
2024-07-01,10636.24,SOXS,no change,no change,no change,no change,SOXS,10685.75,49.5,0.47,22.09,,
2024-07-02,10685.75,SOXS,no change,no change,no change,no change,SOXS,10275.81,-409.93,-3.84,25.08,,
2024-07-03,10275.81,SOXS,no change,no change,no change,no change,SOXS,9750.68,-525.13,-5.11,28.91,,
2024-07-05,9750.68,SOXS,no change,no change,no change,no change,SOXS,9654.15,-96.53,-0.99,29.61,,
2024-07-08,9654.15,SOXS,no change,no change,no change,no change,SOXS,9140.68,-513.47,-5.32,33.36,,
2024-07-09,9140.68,SOXS,no change,no change,no change,no change,SOXS,9180.76,40.08,0.44,33.07,,
2024-07-10,9180.76,SOXS,no change,no change,no change,no change,SOXS,8521.28,-659.48,-7.18,37.87,,
2024-07-11,8521.28,SOXS,no change,no change,no change,no change,SOXS,9345.57,824.29,9.67,31.86,,
2024-07-12,9345.57,SOXS,no change,no change,no change,no change,SOXS,9026.05,-319.52,-3.42,34.19,,
2024-07-15,9026.05,SOXS,no change,no change,no change,no change,SOXS,9048.75,22.69,0.25,34.03,,
2024-07-16,9048.75,SOXS,no change,no change,no change,no change,SOXS,8848.47,-200.28,-2.21,35.49,,
2024-07-17,8848.47,SOXS,no change,no change,no change,no change,SOXS,10645.59,1797.12,20.31,22.39,,
