Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-04-10,10000.0,CASH,no change,no change,15:55,SPXS,SPXS,9999.0,-1.0,-0.01,0.01,,7.8099
2025-04-11,9999.0,SPXS,no change,no change,no change,no change,SQQQ,9419.68,-579.32,-5.79,5.8,,
2025-04-14,9419.68,SPXS,no change,no change,15:55,SPXS,SPXS,9236.06,-183.62,-1.95,7.64,,7.1898
2025-04-15,9236.06,SPXS,no change,no change,15:55,SQQQ,SPXS,9298.38,62.32,0.67,7.02,,35.3073
2025-04-16,9298.38,SQQQ,no change,no change,15:55,TMV,TMV,10051.79,753.41,8.1,0.0,,37.41
2025-04-17,10051.79,TMV,no change,no change,no change,no change,TMV,10171.22,119.43,1.19,0.0,,
2025-04-21,10171.22,TMV,no change,no change,no change,no change,TMV,10787.58,616.36,6.06,0.0,,
2025-04-22,10787.58,TMV,no change,no change,15:55,SPXS,SPXS,10311.03,-476.55,-4.42,4.42,,7.665
2025-04-23,10311.03,SPXS,no change,no change,15:55,SQQQ,SPXS,9704.06,-606.97,-5.89,10.04,,35.44
2025-04-24,9704.06,SQQQ,no change,no change,no change,no change,SPXS,9062.69,-641.37,-6.61,15.99,,
2025-04-25,9062.69,SPXS,no change,no change,15:55,SPXL,SPXL,8832.99,-229.69,-2.53,18.12,,125.5236
2025-04-28,8832.99,TMF,08:00,TQQQ,15:55,SPXS,SPXS,8860.22,27.22,0.31,17.87,53.7,6.635
2025-04-29,8860.22,SPXS,no change,no change,15:55,TMV,TMV,8742.85,-117.37,-1.32,18.95,,35.208
2025-04-30,8742.85,SQQQ,no change,no change,15:55,SPXL,SPXL,8754.38,11.54,0.13,18.85,,129.27
2025-05-01,8754.38,TQQQ,09:41,TQQQ,15:55,TQQQ,SPXL,8804.88,50.5,0.58,18.38,57.005,57.12
2025-05-02,8804.88,SPXL,no change,no change,no change,no change,SPXL,8954.9,150.02,1.7,16.99,,
2025-05-05,8954.9,SPXL,15:54,TQQQ,15:55,SOXL,SPXL,8794.11,-160.79,-1.8,18.48,58.315,13.0618
2025-05-06,8794.11,SPXL,08:00,TQQQ,15:55,SPXS,SPXS,8575.44,-218.67,-2.49,20.51,56.53,6.375
2025-05-07,8575.44,SPXS,no change,no change,15:55,TMV,SPXS,8513.81,-61.63,-0.72,21.08,,37.6216
2025-05-08,8513.81,TMV,no change,no change,15:55,SOXL,SOXL,8555.88,42.07,0.49,20.69,,13.745
2025-05-09,8555.88,SOXL,07:27,TQQQ,15:55,TQQQ,SOXL,8609.7,53.82,0.63,20.19,59.46,59.001
2025-05-12,8609.7,SOXL,04:00,SOXL,15:55,SOXL,SOXL,9412.89,803.19,9.33,12.74,16.43,17.095
