Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2026-02-27,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.0,-1.0,-0.01,0.01,,1.7999
2026-03-02,9999.0,SOXS,no change,no change,no change,no change,SOXS,9999.56,0.56,0.01,0.0,,
2026-03-03,9999.56,SOXS,no change,no change,no change,no change,SOXS,11499.69,1500.14,15.0,0.0,,
2026-03-04,11499.69,SOXS,no change,no change,no change,no change,SOXS,10749.84,-749.86,-6.52,6.52,,
2026-03-05,10749.84,SOXS,13:08,SOXS,15:55,SOXS,SOXS,11567.3,817.47,7.6,0.0,41.76,40.4
2026-03-06,11567.3,SOXS,04:02,SOXS,15:55,SOXL,SOXL,11219.16,-348.14,-3.01,3.01,39.27,47.66
2026-03-09,11219.16,SOXL,15:41,SOXL,15:55,SOXL,SOXL,12404.13,1184.97,10.56,0.0,52.72,52.975
2026-03-10,12404.13,SOXL,14:14,SOXL,15:55,SOXL,SOXL,13255.99,851.86,6.87,0.0,56.14,54.165
2026-03-11,13255.99,SOXL,no change,no change,15:55,SOXS,SOXS,13730.47,474.48,3.58,0.0,,37.8201
2026-03-12,13730.47,SOXS,10:02,SOXS,15:55,SOXL,SOXL,14826.52,1096.05,7.98,0.0,40.685,50.09
2026-03-13,14826.52,SOXL,no change,no change,no change,no change,SOXL,14930.12,103.6,0.7,0.0,,
2026-03-16,14930.12,SOXL,10:38,SOXL,15:55,SOXL,SOXL,16061.28,1131.17,7.58,0.0,54.12,53.71
2026-03-17,16061.28,SOXL,no change,no change,no change,no change,SOXL,16384.25,322.96,2.01,0.0,,
2026-03-18,16384.25,SOXL,no change,no change,no change,no change,SOXL,16285.56,-98.68,-0.6,0.6,,
2026-03-19,16285.56,SOXL,no change,no change,no change,no change,SOXL,16444.05,158.49,0.97,0.0,,
2026-03-20,16444.05,SOXL,no change,no change,no change,no change,SOXL,15174.64,-1269.41,-7.72,7.72,,
2026-03-23,15174.64,SOXL,07:13,SOXL,15:55,SOXS,SOXS,16232.08,1057.44,6.97,1.29,55.4,38.94
2026-03-24,16232.08,SOXS,11:12,SOXS,no change,no change,CASH,15745.12,-486.96,-3.0,4.25,37.515,
2026-03-25,15745.12,CASH,no change,no change,15:55,SOXS,SOXS,15743.54,-1.57,-0.01,4.26,,36.015
2026-03-26,15743.54,SOXS,11:05,SOXS,15:55,SOXL,SOXL,17110.98,1367.44,8.69,0.0,39.225,48.99
2026-03-27,17110.98,SOXL,no change,no change,no change,no change,SOXL,16272.72,-838.26,-4.9,4.9,,
2026-03-30,16272.72,SOXL,no change,no change,no change,no change,SOXL,14248.68,-2024.05,-12.44,16.73,,
2026-03-31,14248.68,SOXL,10:07,SOXL,15:55,SOXL,SOXL,15314.39,1065.72,7.48,10.5,43.8809,47.945
2026-04-01,15314.39,SOXL,09:43,SOXL,15:55,SOXL,SOXL,16330.51,1016.12,6.64,4.56,51.08,52.205
2026-04-02,16330.51,SOXL,no change,no change,no change,no change,SOXL,16505.69,175.18,1.07,3.54,,
2026-04-06,16505.69,SOXL,no change,no change,no change,no change,SOXL,17112.55,606.86,3.68,0.0,,
2026-04-07,17112.55,SOXL,19:33,SOXL,15:55,SOXL,SOXL,19790.54,2677.99,15.65,0.0,63.06,56.375
2026-04-08,19790.54,SOXL,04:03,SOXL,15:55,SOXS,SOXS,22458.99,2668.45,13.48,0.0,64.33,27.075
2026-04-09,22458.99,SOXS,09:36,SOXS,no change,no change,CASH,21639.76,-819.23,-3.65,3.65,26.09,
2026-04-10,21639.76,CASH,no change,no change,15:55,SOXS,SOXS,21637.6,-2.16,-0.01,3.66,,23.645
