idx,profit_lock_exec_model,runtime_profit_lock_order_type,rebalance_time_ny,slippage_bps,sell_fee_bps,cpu_final_equity,cpu_pnl,cpu_return_pct,cpu_maxdd_pct,gpu_final_equity,gpu_pnl,cpu_gpu_diff_bps,delta_vs_baseline_pnl,delta_vs_baseline_ret_pct
0,market_close,market_order,15:55,0.0,0.0,11234.187,1234.187,12.3419,7.5486,11234.187,1234.187,0.0,11.2287,0.1123
36,market_close,close_position,15:55,0.0,0.0,11234.187,1234.187,12.3419,7.5486,11234.187,1234.187,0.0,11.2287,0.1123
37,market_close,close_position,15:55,0.0,1.0,11230.8171,1230.8171,12.3082,7.5501,11230.8171,1230.8171,0.0,7.8588,0.0786
1,market_close,market_order,15:55,0.0,1.0,11230.8171,1230.8171,12.3082,7.5501,11230.8171,1230.8171,0.0,7.8588,0.0786
2,market_close,market_order,15:55,1.0,0.0,11226.3259,1226.3259,12.2633,7.5516,11226.3259,1226.3259,0.0,3.3676,0.0337
38,market_close,close_position,15:55,1.0,0.0,11226.3259,1226.3259,12.2633,7.5516,11226.3259,1226.3259,0.0,3.3676,0.0337
39,market_close,close_position,15:55,1.0,1.0,11222.9583,1222.9583,12.2296,7.5531,11222.9583,1222.9583,0.0,0.0,0.0
3,market_close,market_order,15:55,1.0,1.0,11222.9583,1222.9583,12.2296,7.5531,11222.9583,1222.9583,0.0,0.0,0.0
4,market_close,market_order,15:56,0.0,0.0,11215.1964,1215.1964,12.152,7.0963,11215.1964,1215.1964,0.0,-7.7619,-0.0776
40,market_close,close_position,15:56,0.0,0.0,11215.1964,1215.1964,12.152,7.0963,11215.1964,1215.1964,0.0,-7.7619,-0.0776
