date,start_before_add,cash_added,start_after_add,end_equity,trading_pnl,net_change_including_add,day_return_pct,drawdown_pct,drawdown_usd,sale_time_stock,new_purchase_time_stock
2026-03-17,7075.0,0.0,7075.0,7074.292571,-0.707429,-0.707429,-0.009999,0.009999,0.707429,no change,15:55 | SOXL
2026-03-18,7074.292571,0.0,7074.292571,7031.684129,-42.608442,-42.608442,-0.6023,0.612238,43.315871,no change,no change
2026-03-19,7031.684129,4000.0,11031.684129,11139.043522,107.359394,4107.359394,0.973191,0.0,0.0,no change,no change
2026-03-20,11139.043522,0.0,11139.043522,10279.155547,-859.887975,-859.887975,-7.719585,7.719585,859.887975,no change,no change
2026-03-23,10279.155547,0.0,10279.155547,10995.453916,716.298368,716.298368,6.968455,1.289066,143.589607,07:13 | SOXL,15:55 | SOXS
2026-03-24,10995.453916,0.0,10995.453916,10676.216337,-319.237578,-319.237578,-2.90336,4.154999,462.827185,no change,no change
2026-03-25,10676.216337,0.0,10676.216337,10247.972585,-428.243752,-428.243752,-4.011194,7.999528,891.070938,no change,no change
2026-03-26,10247.972585,0.0,10247.972585,11138.085215,890.11263,890.11263,8.685744,0.008603,0.958307,11:05 | SOXS,15:55 | SOXL
2026-03-27,11138.085215,0.0,11138.085215,10592.43499,-545.650225,-545.650225,-4.898959,4.907141,546.608532,no change,no change
2026-03-30,10592.43499,0.0,10592.43499,9274.917051,-1317.517939,-1317.517939,-12.438291,16.735068,1864.126471,no change,no change
2026-03-31,9274.917051,0.0,9274.917051,9968.627163,693.710112,693.710112,7.479421,10.507333,1170.416359,10:07 | SOXL,15:55 | SOXL
2026-04-01,9968.627163,0.0,9968.627163,10630.050356,661.423193,661.423193,6.635048,4.569451,508.993166,09:43 | SOXL,15:55 | SOXL
2026-04-02,10630.050356,0.0,10630.050356,10744.078288,114.027932,114.027932,1.072694,3.545773,394.965234,no change,no change
2026-04-06,10744.078288,0.0,10744.078288,11139.103625,395.025336,395.025336,3.67668,0.0,0.0,no change,no change
2026-04-07,11139.103625,0.0,11139.103625,12882.29455,1743.190925,1743.190925,15.649293,0.0,0.0,19:33 | SOXL,15:55 | SOXL
2026-04-08,12882.29455,0.0,12882.29455,14619.274242,1736.979692,1736.979692,13.483465,0.0,0.0,04:03 | SOXL,15:55 | SOXS
