ok,idx,attempt,elapsed_sec,window,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,cpu_gpu_diff_bps,gpu_backend,summary_json,strategy_profile,profit_lock_exec_model,runtime_profit_lock_order_type,runtime_stop_price_offset_bps,rebalance_time_ny,slippage_bps,sell_fee_bps,warmup_days,daily_lookback_days,anchor_window_start_equity,daily_synthetic_parity,cpu_score,gpu_score,combined_score
True,268,1,9.103,2026-03-13 to 2026-03-26,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00268_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:56,1.0,0.5,260,800,False,False,8.506742177959985,8.506742177959985,8.506742177959985
True,256,1,9.3,2026-03-13 to 2026-03-26,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00256_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,1.0,15:56,1.0,0.5,260,800,False,False,8.506742177959985,8.506742177959985,8.506742177959985
True,280,1,6.898,2026-03-13 to 2026-03-26,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00280_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,4.0,15:56,1.0,0.5,260,800,False,False,8.506742177959985,8.506742177959985,8.506742177959985
True,244,1,9.602,2026-03-13 to 2026-03-26,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,11205.667524697279,12.05667524697278,1205.667524697279,7.099866138025589,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00244_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,0.5,15:56,1.0,0.5,260,800,False,False,8.506742177959985,8.506742177959985,8.506742177959985
True,245,1,9.094,2026-03-13 to 2026-03-26,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00245_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,0.5,15:56,1.0,1.0,260,800,False,False,8.489578639014606,8.489578639014606,8.489578639014606
True,281,1,6.711,2026-03-13 to 2026-03-26,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00281_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,4.0,15:56,1.0,1.0,260,800,False,False,8.489578639014606,8.489578639014606,8.489578639014606
True,257,1,9.717,2026-03-13 to 2026-03-26,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00257_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,1.0,15:56,1.0,1.0,260,800,False,False,8.489578639014606,8.489578639014606,8.489578639014606
True,269,1,9.626,2026-03-13 to 2026-03-26,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,11203.986674571379,12.039866745713779,1203.986674571379,7.100576213398343,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00269_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:56,1.0,1.0,260,800,False,False,8.489578639014606,8.489578639014606,8.489578639014606
True,264,1,8.995,2026-03-13 to 2026-03-26,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00264_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,2.0,15:55,1.0,0.5,260,800,False,False,8.470256671978582,8.470256671978582,8.470256671978582
True,252,1,9.13,2026-03-13 to 2026-03-26,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00252_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,1.0,15:55,1.0,0.5,260,800,False,False,8.470256671978582,8.470256671978582,8.470256671978582
True,276,1,8.098,2026-03-13 to 2026-03-26,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00276_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,4.0,15:55,1.0,0.5,260,800,False,False,8.470256671978582,8.470256671978582,8.470256671978582
True,240,1,9.658,2026-03-13 to 2026-03-26,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,11224.641988531768,12.246419885317671,1224.6419885317682,7.552326426678177,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00240_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,0.5,15:55,1.0,0.5,260,800,False,False,8.470256671978582,8.470256671978582,8.470256671978582
True,241,1,9.26,2026-03-13 to 2026-03-26,11222.958292236295,12.229582922362958,1222.9582922362952,7.553081753736254,11222.958292236295,12.229582922362958,1222.9582922362952,7.553081753736254,0.0,cupy_available_cpu_logic,/home/chewy/projects/trading-compose-dev/research/reports/drawdown_guard_20260327/sweep_00241_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-03-13_to_2026-03-26_market_close.json,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,market_close,close_position,0.5,15:55,1.0,1.0,260,800,False,False,8.453042045494831,8.453042045494831,8.453042045494831
