rule,rule_size,final_equity,pnl,return_pct,maxdd_pct,active_days,exposure_pct,win_rate_when_active_pct,switches,delta_pnl_vs_baseline,delta_return_pct_vs_baseline,delta_maxdd_pct_vs_baseline,pnl_per_maxdd
SOXL_MACD_hist_lag1_lt_0,1,57428.087258489104,47428.087258489104,474.280872584891,26.4053644402507,122,48.41269841269841,63.114754098360656,22,19520.587013304415,195.20587013304413,-13.585856119907142,1796.1534810779838
SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,2,48482.91840507984,38482.91840507984,384.82918405079846,11.944512644242563,67,26.58730158730159,68.65671641791045,26,10575.418159895155,105.75418159895162,-28.046707915915277,3221.8073312207675
SOXL_ATRpct_lag1_gt_q40,1,44118.28629232033,34118.28629232033,341.18286292320323,28.487624139819946,150,59.523809523809526,58.666666666666664,23,6210.78604713564,62.10786047135639,-11.503596420337896,1197.652922014997
SOXL_Px_lt_EMA20_lag1,1,41978.321285541155,31978.321285541155,319.7832128554116,22.372118349371256,80,31.746031746031743,62.5,29,4070.8210403564663,40.70821040356475,-17.619102210786586,1429.3828052469546
SOXL_ATRpct_lag1_gt_q40 & SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,3,41922.769784169395,31922.769784169395,319.2276978416939,11.94451264424257,53,21.03174603174603,69.81132075471697,20,4015.2695389847067,40.152695389847054,-28.04670791591527,2672.58872211556
SOXL_RSI14_lag1_lt_45 & SOXL_MACD_hist_lag1_lt_0,2,41401.74992397183,31401.74992397183,314.0174992397183,11.358119330522545,53,21.03174603174603,73.58490566037736,20,3494.2496787871423,34.94249678787145,-28.633101229635297,2764.696250336644
SOXL_RSI14_lag1_lt_45 & SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,3,38580.26890073799,28580.26890073799,285.8026890073799,11.358119330522547,49,19.444444444444446,73.46938775510205,16,672.7686555533,6.727686555533069,-28.633101229635294,2516.285317053727
SOXL_ATRpct_lag1_gt_q50,1,38212.956617918564,28212.956617918564,282.12956617918564,28.487624139819946,125,49.60317460317461,59.199999999999996,13,305.45637273387547,3.0545637273388024,-11.503596420337896,990.358356296991
SOXL_ATRpct_lag1_gt_q40 & SOXL_ATRpct_lag1_gt_q50,2,38212.956617918564,28212.956617918564,282.12956617918564,28.487624139819946,125,49.60317460317461,59.199999999999996,13,305.45637273387547,3.0545637273388024,-11.503596420337896,990.358356296991
BASELINE_ALWAYS_ON,0,37907.50024518469,27907.50024518469,279.07500245184684,39.99122056015784,252,100.0,53.96825396825397,0,0.0,0.0,0.0,697.8406723846825
SOXL_ATRpct_lag1_gt_q50 & SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,3,37294.35802023976,27294.358020239757,272.9435802023976,11.94451264424256,51,20.238095238095237,68.62745098039215,16,-613.1422249449315,-6.131422249449258,-28.046707915915285,2285.0959962268585
SOXL_RSI14_lag1_lt_45 & SOXL_ATRpct_lag1_gt_q40 & SOXL_MACD_hist_lag1_lt_0,3,36527.584131417905,26527.584131417905,265.27584131417905,11.358119330522536,44,17.46031746031746,75.0,18,-1379.9161137667834,-13.799161137667795,-28.633101229635308,2335.5613160473363
SOXL_ATRpct_lag1_gt_q40 & SOXL_Px_lt_EMA20_lag1,2,36298.299629488654,26298.299629488654,262.98299629488656,18.135619488082384,66,26.190476190476193,62.121212121212125,25,-1609.2006156960342,-16.09200615696028,-21.85560107207546,1450.0910568161337
SOXL_ATRpct_lag1_gt_q40 & SOXL_MACD_hist_lag1_lt_0,2,36164.141967681375,26164.141967681375,261.64141967681377,26.405364440250683,89,35.317460317460316,64.04494382022472,18,-1743.3582775033137,-17.433582775033074,-13.58585611990716,990.864641421059
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q40,2,35387.661644379106,25387.661644379106,253.87661644379108,10.536765959730628,42,16.666666666666664,69.04761904761905,42,-2519.8386008055822,-25.198386008055763,-29.454454600427212,2409.4358498049187
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q40,3,35387.661644379106,25387.661644379106,253.87661644379108,10.536765959730628,42,16.666666666666664,69.04761904761905,42,-2519.8386008055822,-25.198386008055763,-29.454454600427212,2409.4358498049187
SOXL_RSI14_lag1_lt_45,1,35170.43381657607,25170.43381657607,251.7043381657607,15.998441898455484,61,24.206349206349206,67.21311475409836,22,-2737.0664286086176,-27.37066428608614,-23.99277866170236,1573.3053241269743
SOXL_ATRpct_lag1_gt_q60 & SOXL_MACD_hist_lag1_lt_0 & SOXL_Px_lt_EMA20_lag1,3,33267.24622921215,23267.24622921215,232.6724622921215,11.358119330522548,48,19.047619047619047,68.75,16,-4640.2540159725395,-46.40254015972533,-28.633101229635294,2048.512218628161
SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q50,2,32938.04287938376,22938.042879383756,229.38042879383755,10.536765959730609,38,15.079365079365079,65.78947368421053,36,-4969.457365800932,-49.69457365800929,-29.454454600427233,2176.9528683704584
SOXS_VolZ20_lag1_gt_0.5 & SOXS_VolZ20_lag1_gt_1.0 & SOXL_ATRpct_lag1_gt_q50,3,32938.04287938376,22938.042879383756,229.38042879383755,10.536765959730609,38,15.079365079365079,65.78947368421053,36,-4969.457365800932,-49.69457365800929,-29.454454600427233,2176.9528683704584
