candidate_id,lookback_days,vol_penalty,dd_penalty,switch_penalty,min_edge_to_switch,min_hold_days,burst_ret3d_min,burst_rv20_max,burst_dd20_max,burst_v1_bonus,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,riskoff_m0106_bonus,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,3m_meta_final,3m_meta_return,3m_meta_dd,3m_best_baseline_final,3m_best_baseline_dd,4m_meta_final,4m_meta_return,4m_meta_dd,4m_best_baseline_final,4m_best_baseline_dd,5m_meta_final,5m_meta_return,5m_meta_dd,5m_best_baseline_final,5m_best_baseline_dd,6m_meta_final,6m_meta_return,6m_meta_dd,6m_best_baseline_final,6m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,2y_meta_final,2y_meta_return,2y_meta_dd,2y_best_baseline_final,2y_best_baseline_dd,3y_meta_final,3y_meta_return,3y_meta_dd,3y_best_baseline_final,3y_best_baseline_dd,4y_meta_final,4y_meta_return,4y_meta_dd,4y_best_baseline_final,4y_best_baseline_dd,5y_meta_final,5y_meta_return,5y_meta_dd,5y_best_baseline_final,5y_best_baseline_dd,7y_meta_final,7y_meta_return,7y_meta_dd,7y_best_baseline_final,7y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score,1m_uplift_vs_envelope_pct,2m_uplift_vs_envelope_pct,3m_uplift_vs_envelope_pct,4m_uplift_vs_envelope_pct,5m_uplift_vs_envelope_pct,6m_uplift_vs_envelope_pct,1y_uplift_vs_envelope_pct,2y_uplift_vs_envelope_pct,3y_uplift_vs_envelope_pct,4y_uplift_vs_envelope_pct,5y_uplift_vs_envelope_pct,7y_uplift_vs_envelope_pct,wins_vs_envelope,min_uplift_vs_envelope_pct,avg_uplift_vs_envelope_pct,envelope_score
MRV2-00077,10,0.8,0.04,0.01,0.0,1,0.12,120.0,18.0,0.02,95.0,8,18.0,0.2,536,228,1476,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,23343.32146102846,133.4332146102846,7.068698847574776,21020.108235875323,7.068698847574783,23406.59028140195,134.06590281401952,7.068698847574751,21200.832441858118,9.893362411045333,24849.49241587616,148.4949241587616,12.591374147674234,26167.920175110386,10.325185577832023,26817.77470960737,168.1777470960737,12.591374147674243,23557.666621484233,12.806243171288354,17829.451486355894,78.29451486355894,24.792526040224814,25037.90044416518,17.360492864386565,23712.318436459318,137.12318436459316,24.79252604022481,45708.51371640169,17.36049286438656,14741.800617471601,47.41800617471601,46.467397711139064,18241.95401664062,45.27001774988935,12128.17795245384,21.2817795245384,74.90197752791039,21993.867075218586,53.561105135378256,22388.457149494858,123.88457149494857,74.90197752791039,29610.801413840607,53.56110513537812,24341.513858667957,143.41513858667957,74.9019775279103,26966.192807400857,53.56110513537822,35907.380500083505,259.073805000835,74.90197752791035,108408.06956348642,53.561105135378135,3,-18.71681243834496,8.640927037741427,5582.459116044393,1.0797219458612561,6.2292592944733105,7.987560258949289,-5.038336063437887,7.987560258949422,-28.790149453162872,-48.12275327178146,-9.81286545316815,-44.85654609543782,-35.783162546978566,-25.348224753513946,-66.87757595475375,4,-66.87757595475375,-20.112125986166763,3329213.0278538456
MRV2-00043,10,0.8,0.06,0.03,0.02,3,0.12,120.0,18.0,0.1,95.0,8,18.0,0.2,565,240,1435,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,21649.40093587133,116.49400935871328,7.06869884757478,21020.108235875323,7.068698847574783,21708.078620676915,117.08078620676913,7.068698847574758,21200.832441858118,9.893362411045333,23046.275795085356,130.46275795085353,13.576564785136082,26167.920175110386,10.325185577832023,24871.72863833666,148.7172863833666,13.576564785136089,23557.666621484233,12.806243171288354,14523.283502858505,45.23283502858506,34.9865443168868,25037.90044416518,17.360492864386565,19643.168682155905,96.43168682155905,34.986544316886814,45708.51371640169,17.36049286438656,13557.816667031904,35.578166670319035,56.72420627910719,18241.95401664062,45.27001774988935,14102.989790788846,41.02989790788847,70.72789937675442,21993.867075218586,53.561105135378256,26661.693951865833,166.61693951865834,70.72789937675434,29610.801413840607,53.56110513537812,26071.017113999846,160.71017113999844,70.72789937675437,26966.192807400857,53.56110513537822,67264.37766748284,572.6437766748285,70.72789937675437,108408.06956348642,53.561105135378135,3,-18.806019307312322,9.949597435072908,5574.131626678389,1.0797219458612561,-1.4793233505269954,0.15138557019889198,-11.929279664320369,0.1513855701989586,-41.994802897928274,-57.02514239681502,-17.056222123793685,-35.877625601005484,-23.526232500223752,-20.04409744841924,-37.952610042473665,3,-57.02514239681502,-20.45857024493728,2427702.719007356
MRV2-00074,10,0.8,0.04,0.03,0.02,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.25,531,231,1478,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,20858.071549085034,108.58071549085034,7.068698847574759,21020.108235875323,7.068698847574783,20914.60444584438,109.14604445844378,7.06869884757475,21200.832441858118,9.893362411045333,22203.887807230432,122.03887807230433,14.091642828703234,26167.920175110386,10.325185577832023,23962.616657363575,139.62616657363577,14.091642828703245,23557.666621484233,12.806243171288354,15931.236495381194,59.31236495381194,27.746568220650023,25037.90044416518,17.360492864386565,21547.466572039146,115.47466572039147,27.746568220650015,45708.51371640169,17.36049286438656,14142.256998192019,41.42256998192018,52.090012367838995,18241.95401664062,45.27001774988935,17405.075086366145,74.05075086366143,55.47306195013112,21993.867075218586,53.561105135378256,32129.539926152847,221.29539926152847,55.47306195013054,29610.801413840607,53.56110513537812,34769.102276921345,247.69102276921348,55.47306195013078,26966.192807400857,53.56110513537822,47934.241855482884,379.34241855482884,55.47306195013087,108408.06956348642,53.561105135378135,3,-14.946707313370469,3.35765245814777,5684.277591441852,1.0797219458612561,-5.080453324965273,-3.5093501131497007,-15.148442602061829,-3.5093501131496674,-36.37151593078644,-52.85896473088072,-13.480743106768934,-20.863961636027284,-7.842803588425373,6.631626273093949,-55.78351127504266,2,-55.78351127504266,-17.228145683525224,1440442.072681221
MRV2-00029,10,1.0,0.08,0.02,0.02,2,0.12,120.0,18.0,0.1,95.0,8,18.0,0.25,487,213,1540,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,20635.268031560976,106.35268031560976,7.068698847574786,21020.108235875323,7.068698847574783,19834.360935381465,98.34360935381466,7.332646335814126,21200.832441858118,9.893362411045333,21057.052552807385,110.57052552807387,14.8591193189749,26167.920175110386,10.325185577832023,22724.94270541986,127.24942705419862,14.859119318974916,23557.666621484233,12.806243171288354,14917.343817962437,49.17343817962436,29.230941111450704,25037.90044416518,17.360492864386565,19737.564528914558,97.37564528914558,29.23095158913672,45708.51371640169,17.36049286438656,13638.452202791224,36.38452202791225,53.193705019222726,18241.95401664062,45.27001774988935,19171.30851421816,91.7130851421816,65.36051832112894,21993.867075218586,53.561105135378256,35389.983627629575,253.8998362762958,65.36051832112891,29610.801413840607,53.56110513537812,36980.79648844416,269.80796488444156,65.36051832112884,26966.192807400857,53.56110513537822,59110.138519134925,491.1013851913492,65.36051832112891,108408.06956348642,53.561105135378135,2,-14.108417771458157,7.1207547394149975,3682.227870873762,0.0,-6.0943729882101945,-8.493111514447904,-19.531042544084965,-8.493111514447927,-40.4209476300607,-56.81862540668856,-16.56291142847992,-12.833389195939638,1.509130839409134,13.414560980902234,-45.47441093901355,2,-56.81862540668856,-16.64985261175517,1430148.760671939
MRV2-00010,12,0.8,0.06,0.0,0.03,3,0.12,120.0,18.0,0.02,95.0,8,18.0,0.1,557,236,1447,13981.476495382356,39.81476495382357,8.508189501161047,19508.989836837496,7.068698847574766,19153.6399974344,91.536399974344,8.501629093675353,21020.108235875323,7.068698847574783,22989.679286785085,129.89679286785085,8.501629093675364,21200.832441858118,9.893362411045333,25320.08156632907,153.20081566329068,12.654948809592218,26167.920175110386,10.325185577832023,25576.96533356319,155.76965333563186,12.654948809592213,23557.666621484233,12.806243171288354,15035.967792409418,50.35967792409417,35.5992895219027,25037.90044416518,17.360492864386565,16669.985821139817,66.69985821139817,42.502436465202415,45708.51371640169,17.36049286438656,10024.660936069658,0.24660936069658135,76.0014907905574,18241.95401664062,45.27001774988935,12328.630818325488,23.286308183254878,79.52310039611511,21993.867075218586,53.561105135378256,22781.035044078646,127.81035044078646,79.52310039611505,29610.801413840607,53.56110513537812,23109.890172050586,131.09890172050584,79.52310039611513,26966.192807400857,53.56110513537822,30120.161432984198,201.201614329842,79.52310039611505,108408.06956348642,53.561105135378135,2,-27.124420618662402,15.26353153944956,3381.193929929504,-16.830335315676226,-12.8368688613,6.064119013874847,-3.2399923383583884,2.9911733955219066,-39.947169987596176,-63.52980119946869,-38.67130155347692,-43.945142633799605,-34.65713091935007,-29.12543003234126,-72.21594153067628,2,-72.21594153067628,-28.82865183022057,1274957.719510215
MRV2-00076,10,0.8,0.06,0.01,0.0,2,0.12,120.0,18.0,0.02,95.0,8,18.0,0.05,616,238,1386,17051.61818076373,70.5161818076373,8.266644520358769,19508.989836837496,7.068698847574766,20724.436463345755,107.24436463345755,8.266644520358776,21020.108235875323,7.068698847574783,20780.607160824708,107.8060716082471,8.266644520358778,21200.832441858118,9.893362411045333,22887.96504942704,128.87965049427038,13.999686533277679,26167.920175110386,10.325185577832023,24700.86654035637,147.0086654035637,13.999686533277677,23557.666621484233,12.806243171288354,16422.052404462276,64.22052404462275,26.57030800203111,25037.90044416518,17.360492864386565,22873.788141021774,128.73788141021777,26.570308002031116,45708.51371640169,17.36049286438656,11575.693364786312,15.756933647863125,64.0753498932499,18241.95401664062,45.27001774988935,11668.850238186116,16.68850238186117,75.81157796058076,21993.867075218586,53.561105135378256,21351.174485838816,113.51174485838817,75.81157796058078,29610.801413840607,53.56110513537812,23656.761974567205,136.56761974567203,75.81157796058079,26966.192807400857,53.56110513537822,53934.06846315866,439.3406846315866,75.81157796058076,108408.06956348642,53.561105135378135,1,-23.494905971883824,11.12422411520525,1474.4807599862972,1.4325895328449745,-5.688591125643605,-4.127553777871196,-12.534259901950772,-0.5366275592053826,-34.41122413165733,-49.95726992362493,-29.18242200850585,-46.944981533811756,-38.75840160700196,-27.448256166855735,-50.249027881108475,1,-50.249027881108475,-24.867168840366002,495023.00430487865
MRV2-00027,10,1.0,0.04,0.02,0.02,1,0.12,120.0,18.0,0.08,95.0,8,18.0,0.2,490,206,1544,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,20858.071549085034,108.58071549085034,7.068698847574759,21020.108235875323,7.068698847574783,20048.5168832221,100.48516883222098,7.254319852345388,21200.832441858118,9.893362411045333,21284.410170371575,112.84410170371575,14.700395918118488,26167.920175110386,10.325185577832023,22970.30889899467,129.70308898994668,14.7003959181185,23557.666621484233,12.806243171288354,15078.409652904551,50.78409652904552,28.918699565781285,25037.90044416518,17.360492864386565,20982.847963087403,109.82847963087403,28.91870993154587,45708.51371640169,17.36049286438656,15186.57603580334,51.865760358033405,48.28771671874588,18241.95401664062,45.27001774988935,16082.063730898833,60.820637308988346,68.08000284321052,21993.867075218586,53.561105135378256,29687.27834685384,196.8727834685384,68.0800028432106,29610.801413840607,53.56110513537812,31363.977156726873,213.63977156726875,68.0800028432106,26966.192807400857,53.56110513537822,49582.82889269102,395.82828892691015,68.08000284321061,108408.06956348642,53.561105135378135,2,-17.954844858035816,7.53992305465473,3603.20348756601,1.0797219458612561,-5.080453324965273,-7.505091557494669,-18.662201550827728,-7.505091557494659,-39.77765952648631,-54.09422390481693,-7.0918260403391,-26.879326514530177,-14.847945291954613,-3.8113821870557896,-54.26278773126377,1,-54.26278773126377,-19.869855603447313,455385.13712701754
MRV2-00049,6,0.8,0.08,0.03,0.03,2,0.12,120.0,18.0,0.05,95.0,8,18.0,0.15,695,223,1322,14329.49811005688,43.2949811005688,8.409960380916976,19508.989836837496,7.068698847574766,15009.594196498425,50.095941964984256,16.609307462134772,21020.108235875323,7.068698847574783,14900.734390413372,49.00734390413373,16.609307462134765,21200.832441858118,9.893362411045333,16409.651529023606,64.09651529023606,19.781575260834458,26167.920175110386,10.325185577832023,17770.16111710332,77.70161117103318,19.781575260834476,23557.666621484233,12.806243171288354,18533.190055682866,85.33190055682867,27.42518352424032,25037.90044416518,17.360492864386565,29508.741559366073,195.08741559366075,27.425183524240317,45708.51371640169,17.36049286438656,15791.951893808447,57.919518938084465,43.80365269485369,18241.95401664062,45.27001774988935,19146.875779863825,91.46875779863825,61.885229067377416,21993.867075218586,53.561105135378256,25143.64704995365,151.4364704995365,61.88522906737732,29610.801413840607,53.56110513537812,32942.92408991318,229.42924089913177,61.88522906737743,26966.192807400857,53.56110513537822,43075.123409043386,330.75123409043385,61.88522906737726,108408.06956348642,53.561105135378135,1,-23.97518377425382,7.287951168270365,1484.0565686735717,-14.760107539308208,-31.695321230674413,-31.25466231765115,-37.290960002883054,-28.444609397178088,-25.97945623670762,-35.4414765213042,-3.3882680168637824,-12.944478047530739,-27.880448179099005,1.03101144001021,-60.2657591981033,1,-60.2657591981033,-25.692877937274446,394773.1202252396
MRV2-00019,10,1.2,0.08,0.01,0.03,3,0.12,120.0,18.0,0.1,95.0,8,18.0,0.2,479,211,1550,16992.298356737494,69.92298356737494,7.0686988475747565,19508.989836837496,7.068698847574766,21649.40093587133,116.49400935871328,7.06869884757478,21020.108235875323,7.068698847574783,21354.618134264158,113.54618134264159,7.068698847574775,21200.832441858118,9.893362411045333,22671.026193548772,126.71026193548771,13.801283352454735,26167.920175110386,10.325185577832023,24466.75621051158,144.6675621051158,13.80128335245475,23557.666621484233,12.806243171288354,14106.15647922,41.0615647922,35.53730379186629,25037.90044416518,17.360492864386565,18041.056585276427,80.41056585276426,35.56576136472082,45708.51371640169,17.36049286438656,15417.478422015498,54.17478422015498,64.13413862416178,18241.95401664062,45.27001774988935,15458.77481371578,54.58774813715779,72.25553015589865,21993.867075218586,53.561105135378256,27861.37171022863,178.61371710228627,72.25553015589861,29610.801413840607,53.56110513537812,30281.61020491669,202.81610204916691,72.25553015589873,26966.192807400857,53.56110513537822,64621.557291123354,546.2155729112335,72.25553015589875,108408.06956348642,53.561105135378135,4,-16.839730881137665,11.207919861663129,7607.165783068931,1.0797219458612561,-1.4793233505269954,-1.4793233505268732,-13.36328587889719,-1.4793233505269399,-43.6607853335111,-60.5302051665646,-5.679215388976755,-29.713247966594146,-20.08519540283149,-7.130839427468338,-40.39045474075213,1,-60.5302051665646,-18.659289784276275,392832.0193559264
MRV2-00008,6,1.0,0.08,0.03,0.03,3,0.12,120.0,18.0,0.1,95.0,8,18.0,0.15,668,202,1370,14206.101279995542,42.06101279995542,8.483010856307287,19508.989836837496,7.068698847574766,16667.49488854751,66.67494888547509,8.476469863312795,21020.108235875323,7.068698847574783,17930.268421624714,79.30268421624716,8.476469863312792,21200.832441858118,9.893362411045333,19745.97015902884,97.45970159028839,16.439240721581886,26167.920175110386,10.325185577832023,19946.30202560896,99.46302025608959,16.439240721581886,23557.666621484233,12.806243171288354,15971.870054036197,59.718700540361965,27.534412479196636,25037.90044416518,17.360492864386565,24697.085340199894,146.97085340199894,27.534412479196636,45708.51371640169,17.36049286438656,17365.97038819763,73.65970388197631,37.196988215716225,18241.95401664062,45.27001774988935,10775.733590595542,7.75733590595542,79.91579958506216,21993.867075218586,53.561105135378256,15923.204689446691,59.232046894466905,79.91579958506217,29610.801413840607,53.56110513537812,21306.98385091589,113.0698385091589,79.91579958506216,26966.192807400857,53.56110513537822,41637.34149571785,316.3734149571785,79.91579958506216,108408.06956348642,53.561105135378135,0,-30.83125819494261,11.5279793955725,-674.2650608767146,-15.494141100262905,-24.150655284390965,-17.277744500111712,-24.541308491875423,-19.681908165109363,-36.20922772796521,-45.96830364375252,6.24123528576781,-51.0057346725669,-54.327453631772116,-34.65467354025434,-61.59202754612838,1,-61.59202754612838,-31.555161918201836,380924.20834689605
