Window,Baseline Start Equity ($),Baseline Return %,Baseline Final Equity ($),Baseline PnL ($),Baseline MaxDD %,M0106 Start Equity ($),M0106 Return %,M0106 Final Equity ($),M0106 PnL ($),M0106 MaxDD %,DD Improvement (pp)
1m,10000.0,95.0899,19508.99,9508.99,7.9995,10000.0,80.6848,18068.48,8068.48,7.0687,0.9308
2m,19508.99,110.2011,41008.11,21499.12,8.667,18068.48,92.3935,34762.58,16694.1,7.0687,1.5983
3m,41008.11,46.2455,59972.52,18964.41,22.7042,34762.58,120.6579,76706.38,41943.8,8.5651,14.1391
4m,59972.52,80.5089,108255.73,48283.21,29.0447,76706.38,172.3552,208913.82,132207.44,13.1991,15.8456
6m,108255.73,48.3268,160572.26,52316.53,29.0447,208913.82,266.119,764873.18,555959.36,13.1991,15.8456
1y,160572.26,136.4336,379646.78,219074.52,35.4261,764873.18,513.914,4695663.55,3930790.37,13.1991,22.227
2y,379646.78,82.4195,692549.76,312902.98,45.27,4695663.55,569.7047,31447079.5,26751415.95,15.3687,29.9013
3y,692549.76,69.1951,1171760.26,479210.5,73.6307,31447079.5,877.0304,307247526.62,275800447.12,15.3687,58.262
5y,1171760.26,86.4521,2184771.62,1013011.36,73.6307,307247526.62,1020.8605,3443816163.15,3136568636.53,15.3687,58.262
7y,2184771.62,22.2886,2671726.63,486955.01,73.6307,3443816163.15,3281.8029,116463074876.12,113019258712.97,15.3687,58.262
