Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Window Index,Window Period
2024-04-10,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.00999900009997873,1,2024-04-10 to 2024-05-10
2024-04-11,9999.000099990002,SOXS,no change,no change,no change,no change,SOXS,9358.549352342254,-640.4507476477484,-6.40514792722513,6.414506476577462,1,2024-04-10 to 2024-05-10
2024-04-12,9358.549352342254,SOXS,no change,no change,no change,no change,SOXS,10275.528427370651,916.9790750283973,9.798303567196509,0.0,1,2024-04-10 to 2024-05-10
2024-04-15,10275.528427370651,SOXS,no change,no change,no change,no change,SOXS,10645.165987128936,369.6375597582846,3.5972608354981617,0.0,1,2024-04-10 to 2024-05-10
2024-04-16,10645.165987128936,SOXS,no change,no change,no change,no change,SOXS,10380.367590874643,-264.79839625429304,-2.4874989885029564,2.4874989885029564,1,2024-04-10 to 2024-05-10
2024-04-17,10380.367590874643,SOXS,no change,no change,15:55,SOXL,SOXL,11338.679138748434,958.3115478737909,9.23196158020685,0.0,1,2024-04-10 to 2024-05-10
2024-04-18,11338.679138748434,SOXL,no change,no change,no change,no change,SOXL,10599.750513712273,-738.9286250361602,-6.516884515330979,6.516884515330975,1,2024-04-10 to 2024-05-10
2024-04-19,10599.750513712273,SOXL,no change,no change,no change,no change,SOXL,9390.835652936148,-1208.9148607761254,-11.405125613213475,17.178751263502892,1,2024-04-10 to 2024-05-10
2024-04-22,9390.835652936148,SOXL,15:34,SOXL -> SOXL,15:55,SOXL,SOXL,9835.610258366252,444.7746054301042,4.736262265339941,13.25611971191285,1,2024-04-10 to 2024-05-10
2024-04-23,9835.610258366252,SOXL,10:50,SOXL -> SOXL,15:55,SOXL,SOXL,10398.865316500296,563.2550581340438,5.726691515200444,8.28856527949934,1,2024-04-10 to 2024-05-10
2024-04-24,10398.865316500296,SOXL,08:00,SOXL -> SOXL,15:55,SOXL,SOXL,10932.50337890116,533.6380624008634,5.13169510479301,3.5822140734119747,1,2024-04-10 to 2024-05-10
2024-04-25,10932.50337890116,SOXL,14:44,SOXL -> SOXL,15:55,SOXL,SOXL,11377.232810530577,444.7294316294174,4.067956040953158,0.0,1,2024-04-10 to 2024-05-10
2024-04-26,11377.232810530577,SOXL,no change,no change,no change,no change,SOXL,12058.536481173242,681.3036706426647,5.988307367781576,0.0,1,2024-04-10 to 2024-05-10
2024-04-29,12058.536481173242,SOXL,no change,no change,15:55,SOXS,SOXS,12332.824160948518,274.28767977527605,2.2746349045219105,0.0,1,2024-04-10 to 2024-05-10
2024-04-30,12332.824160948518,SOXS,no change,no change,15:55,SOXL,SOXL,13047.387159632144,714.5629986836266,5.793993244031381,0.0,1,2024-04-10 to 2024-05-10
2024-05-01,13047.387159632144,SOXL,no change,no change,no change,no change,SOXL,11717.10152157734,-1330.2856380548037,-10.195801057936183,10.195801057936182,1,2024-04-10 to 2024-05-10
2024-05-02,11717.10152157734,SOXL,15:49,SOXL -> SOXL,15:55,SOXL,SOXL,12335.117964880103,618.0164433027621,5.274482278442916,5.459094499439406,1,2024-04-10 to 2024-05-10
2024-05-03,12335.117964880103,SOXL,09:33,SOXL -> SOXS,15:55,SOXS,SOXS,12961.27883099879,626.1608661186874,5.076245463573681,0.6599660727457244,1,2024-04-10 to 2024-05-10
2024-05-06,12961.27883099879,SOXS,no change,no change,no change,no change,SOXS,12204.96553168813,-756.3132993106592,-5.8351749790447,6.456630876643386,1,2024-04-10 to 2024-05-10
2024-05-07,12204.96553168813,SOXS,no change,no change,15:55,SOXL,SOXL,12451.440680310183,246.47514862205207,2.0194661589344243,4.56755419327009,1,2024-04-10 to 2024-05-10
2024-05-08,12451.440680310183,SOXL,no change,no change,no change,no change,SOXL,12460.896537370176,9.455857059992923,0.07594187132855534,4.495081008069847,1,2024-04-10 to 2024-05-10
2024-05-09,12460.896537370176,SOXL,no change,no change,no change,no change,SOXL,12277.125452719463,-183.7710846507125,-1.47478220447127,5.903570557757538,1,2024-04-10 to 2024-05-10
2024-05-10,12277.125452719463,SOXL,no change,no change,15:55,SOXS,SOXS,12676.712687883826,399.58723516436294,3.2547295920630326,2.8409862236261616,1,2024-04-10 to 2024-05-10
2024-05-10,12676.712687883826,CASH,no change,no change,15:55,SOXS,SOXS,12675.445143369489,-1.2675445143377146,-0.009999000099991662,0.009999000099996042,2,2024-05-10 to 2024-06-10
2024-05-13,12675.445143369489,SOXS,no change,no change,no change,no change,SOXS,12617.9689841569,-57.476159212588755,-0.4534448972993599,0.46339855744362374,2,2024-05-10 to 2024-06-10
2024-05-14,12617.9689841569,SOXS,no change,no change,no change,no change,SOXS,11987.168449577268,-630.8005345796319,-4.99922400642816,5.439456231942627,2,2024-05-10 to 2024-06-10
2024-05-15,11987.168449577268,SOXS,no change,no change,no change,no change,SOXS,11035.204909949385,-951.9635396278827,-7.941521332850332,12.949001987742175,2,2024-05-10 to 2024-06-10
2024-05-16,11035.204909949385,SOXS,no change,no change,15:55,SOXL,SOXL,11162.878557090868,127.67364714148243,1.156966709574836,11.941850920387697,2,2024-05-10 to 2024-06-10
2024-05-17,11162.878557090868,SOXL,no change,no change,no change,no change,SOXL,10938.232460825755,-224.64609626511265,-2.012438772993852,13.713967255246537,2,2024-05-10 to 2024-06-10
2024-05-20,10938.232460825755,SOXL,13:41,SOXL -> SOXL,15:55,SOXL,SOXL,11650.235279878689,712.0028190529338,6.509304145828909,8.097346948521016,2,2024-05-10 to 2024-06-10
2024-05-21,11650.235279878689,SOXL,no change,no change,no change,no change,SOXL,11626.037383756462,-24.197896122226666,-0.20770306814335004,8.288231578614072,2,2024-05-10 to 2024-06-10
2024-05-22,11626.037383756462,SOXL,16:27,SOXL -> SOXL,15:55,SOXL,SOXL,12225.206769623679,599.169385867217,5.153685353741921,3.5616956018234,2,2024-05-10 to 2024-06-10
2024-05-23,12225.206769623679,SOXL,08:01,SOXL -> SOXL,15:55,SOXL,SOXL,12905.796297754381,680.5895281307021,5.5671003440349365,0.0,2,2024-05-10 to 2024-06-10
2024-05-24,12905.796297754381,SOXL,13:08,SOXL -> SOXL,15:55,SOXL,SOXL,13558.211929793295,652.4156320389138,5.055214083554338,0.0,2,2024-05-10 to 2024-06-10
2024-05-28,13558.211929793295,SOXL,14:25,SOXL -> SOXL,15:55,SOXL,SOXL,14166.876248525075,608.6643187317804,4.48926688772493,0.0,2,2024-05-10 to 2024-06-10
2024-05-29,14166.876248525075,SOXL,no change,no change,no change,no change,SOXL,13390.085989828209,-776.7902586968667,-5.483144237797221,5.4831442377972275,2,2024-05-10 to 2024-06-10
2024-05-30,13390.085989828209,SOXL,no change,no change,no change,no change,SOXL,13177.361000253775,-212.7249895744335,-1.5886753060139425,6.98471018531216,2,2024-05-10 to 2024-06-10
2024-05-31,13177.361000253775,SOXL,no change,no change,no change,no change,SOXL,12659.058085668594,-518.3029145851815,-3.9332831101401844,10.64326486944122,2,2024-05-10 to 2024-06-10
2024-06-03,12659.058085668594,SOXL,no change,no change,no change,no change,SOXL,12732.779721774818,73.72163610622374,0.5823627287853572,10.122884548381391,2,2024-05-10 to 2024-06-10
2024-06-04,12732.779721774818,SOXL,no change,no change,no change,no change,SOXL,12518.694441747259,-214.08528002755884,-1.6813711122438013,11.634052404102917,2,2024-05-10 to 2024-06-10
2024-06-05,12518.694441747259,SOXL,no change,no change,no change,no change,SOXL,14141.981602508824,1623.2871607615652,12.966904562733305,0.1757243133880223,2,2024-05-10 to 2024-06-10
2024-06-06,14141.981602508824,SOXL,no change,no change,no change,no change,SOXL,13889.040752655153,-252.94084985367044,-1.788581381047749,1.9611627220845358,2,2024-05-10 to 2024-06-10
2024-06-07,13889.040752655153,SOXL,no change,no change,no change,no change,SOXL,13677.535584337536,-211.50516831761706,-1.5228205610757106,3.4541182939921895,2,2024-05-10 to 2024-06-10
2024-06-10,13677.535584337536,SOXL,no change,no change,no change,no change,SOXL,14217.904041239653,540.368456902117,3.9507735408190525,0.0,2,2024-05-10 to 2024-06-10
2024-06-10,14217.904041239653,CASH,no change,no change,15:55,SOXL,SOXL,14216.482393000353,-1.421648239300339,-0.009999000099991662,0.009999000099992135,3,2024-06-10 to 2024-07-10
2024-06-11,14216.482393000353,SOXL,no change,no change,no change,no change,SOXL,14262.01038413496,45.527991134606054,0.32024793388427675,0.0,3,2024-06-10 to 2024-07-10
2024-06-12,14262.01038413496,SOXL,08:43,SOXL -> SOXL,15:55,SOXL,SOXL,14948.98975953282,686.9793753978611,4.816848094305537,0.0,3,2024-06-10 to 2024-07-10
2024-06-13,14948.98975953282,SOXL,no change,no change,no change,no change,SOXL,15428.42983402491,479.4400744920895,3.207173743539138,0.0,3,2024-06-10 to 2024-07-10
2024-06-14,15428.42983402491,SOXL,no change,no change,no change,no change,SOXL,15125.789970544898,-302.6398634800116,-1.961572672888512,1.961572672888516,3,2024-06-10 to 2024-07-10
2024-06-17,15125.789970544898,SOXL,no change,no change,no change,no change,SOXL,15976.419564616206,850.629594071308,5.623703593186047,0.0,3,2024-06-10 to 2024-07-10
2024-06-18,15976.419564616206,SOXL,no change,no change,no change,no change,SOXL,16563.664500635885,587.2449360196788,3.675698010086559,0.0,3,2024-06-10 to 2024-07-10
2024-06-20,16563.664500635885,SOXL,no change,no change,no change,no change,SOXL,15309.129684262054,-1254.5348163738308,-7.574017309549275,7.574017309549277,3,2024-06-10 to 2024-07-10
2024-06-21,15309.129684262054,SOXL,no change,no change,no change,no change,SOXL,14707.907659134215,-601.2220251278395,-3.9272123074762466,11.203781877074528,3,2024-06-10 to 2024-07-10
2024-06-24,14707.907659134215,SOXL,no change,no change,15:55,SOXS,SOXS,13485.672408094357,-1222.2352510398578,-8.310055239439851,18.582796653623134,3,2024-06-10 to 2024-07-10
2024-06-25,13485.672408094357,SOXS,no change,no change,15:55,SOXL,SOXL,12927.200570514447,-558.4718375799093,-4.1412235198943765,21.95446502784352,3,2024-06-10 to 2024-07-10
2024-06-26,12927.200570514447,SOXL,no change,no change,15:55,SOXS,SOXS,12824.12081452582,-103.07975598862686,-0.7973865294837346,22.576789610575013,3,2024-06-10 to 2024-07-10
2024-06-27,12824.12081452582,SOXS,no change,no change,no change,no change,SOXS,13140.504246933428,316.38343240760696,2.467096473773389,20.666684317175353,3,2024-06-10 to 2024-07-10
2024-06-28,13140.504246933428,SOXS,no change,no change,15:55,SOXL,SOXL,12642.371073858427,-498.13317307500074,-3.7908223589764423,23.67406938619723,3,2024-06-10 to 2024-07-10
2024-07-01,12642.371073858427,SOXL,no change,no change,15:55,SOXS,SOXS,12592.102438814394,-50.268635044032635,-0.3976203099114617,23.977556788046638,3,2024-06-10 to 2024-07-10
2024-07-02,12592.102438814394,SOXS,no change,no change,15:55,SOXL,SOXL,12106.613123760102,-485.4893150542921,-3.855506397071551,26.90860694929359,3,2024-06-10 to 2024-07-10
2024-07-03,12106.613123760102,SOXL,no change,no change,no change,no change,SOXL,12734.739910758874,628.1267869987714,5.188294864779541,23.116409957047956,3,2024-06-10 to 2024-07-10
2024-07-05,12734.739910758874,SOXL,no change,no change,no change,no change,SOXL,12863.685893490501,128.94598273162774,1.0125529350048845,22.33792290953092,3,2024-06-10 to 2024-07-10
2024-07-08,12863.685893490501,SOXL,no change,no change,no change,no change,SOXL,13545.30030025298,681.6144067624791,5.298748837667144,18.222804502391536,3,2024-06-10 to 2024-07-10
2024-07-09,13545.30030025298,SOXL,no change,no change,no change,no change,SOXL,13486.236404396192,-59.063895856788804,-0.4360471495466589,18.57939163233806,3,2024-06-10 to 2024-07-10
2024-07-10,13486.236404396192,SOXL,no change,no change,no change,no change,SOXL,14457.740528129008,971.5041237328169,7.203671169638781,12.714118741212305,3,2024-06-10 to 2024-07-10
2024-07-10,14457.740528129008,CASH,no change,no change,15:55,SOXL,SOXL,14456.294898639146,-1.4456294898627675,-0.00999900009998056,0.009999000099982069,4,2024-07-10 to 2024-08-10
2024-07-11,14456.294898639146,SOXL,no change,no change,no change,no change,SOXL,13071.640666342813,-1384.6542322963323,-9.578209645036207,9.587250919944209,4,2024-07-10 to 2024-08-10
2024-07-12,13071.640666342813,SOXL,12:00,SOXL -> SOXL,15:55,SOXL,SOXL,13698.566047325065,626.9253809822512,4.796072635292625,5.250989802499862,4,2024-07-10 to 2024-08-10
2024-07-15,13698.566047325065,SOXL,no change,no change,no change,no change,SOXL,13665.934788196635,-32.63125912842952,-0.23820930611055946,5.476690762237949,4,2024-07-10 to 2024-08-10
2024-07-16,13665.934788196635,SOXL,no change,no change,no change,no change,SOXL,13963.243604284486,297.3088160878506,2.175546866685174,3.420291869828682,4,2024-07-10 to 2024-08-10
2024-07-17,13963.243604284486,SOXL,no change,no change,15:55,SOXS,SOXS,11151.19923893353,-2812.0443653509556,-20.138905006914776,22.87038754611943,4,2024-07-10 to 2024-08-10
2024-07-18,11151.19923893353,SOXS,no change,no change,no change,no change,SOXS,11143.788925569177,-7.410313364352987,-0.06645306218259206,22.921642535444597,4,2024-07-10 to 2024-08-10
2024-07-19,11143.788925569177,SOXS,no change,no change,no change,no change,SOXS,12256.538610446318,1112.7496848771407,9.985380127973897,15.225075546210196,4,2024-07-10 to 2024-08-10
2024-07-22,12256.538610446318,SOXS,no change,no change,no change,no change,SOXS,10751.656967158606,-1504.881643287712,-12.278194448839685,25.63390561450345,4,2024-07-10 to 2024-08-10
2024-07-23,10751.656967158606,SOXS,no change,no change,no change,no change,SOXS,11207.336388985863,455.6794218272571,4.238225077484792,22.482103153111325,4,2024-07-10 to 2024-08-10
2024-07-24,11207.336388985863,SOXS,no change,no change,15:55,SOXL,SOXL,12929.852075464432,1722.5156864785695,15.369536763181223,10.56796149918387,4,2024-07-10 to 2024-08-10
2024-07-25,12929.852075464432,SOXL,no change,no change,no change,no change,SOXL,12066.012963062449,-863.8391124019836,-6.680966706813274,16.542886216647823,4,2024-07-10 to 2024-08-10
2024-07-26,12066.012963062449,SOXL,08:00,SOXL -> SOXL,15:55,SOXL,SOXL,12701.386484790535,635.3735217280864,5.265811694991118,12.148191758742021,4,2024-07-10 to 2024-08-10
