Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-03-02,9398.029325132924,SOXS,no change,no change,no change,no change,SOXS,9398.551466881085,0.5221417481607205,0.0055558642146902,12.954159597342274
2026-03-03,9398.551466881085,SOXS,no change,no change,no change,no change,SOXS,10808.526159708596,1409.9746928275126,15.002042578540188,0.0
2026-03-04,10808.526159708596,SOXS,no change,no change,no change,no change,SOXS,10103.737504323,-704.7886553855988,-6.520673077638184,6.520673077638184
2026-03-05,10103.737504323,SOXS,13:08,SOXS -> SOXS,15:55,SOXS,SOXS,10872.07080520525,768.3333008822519,7.604446379901608,0.0
2026-03-06,10872.07080520525,SOXS,09:30,SOXS -> SOXL,15:55,SOXL,SOXL,11548.484604209929,676.4137990046784,6.221572790721974,0.0
2026-03-09,11548.484604209929,SOXL,15:41,SOXL -> SOXL,15:55,SOXL,SOXL,12768.238207210006,1219.7536030000774,10.562023025561508,0.0
2026-03-10,12768.238207210006,SOXL,14:14,SOXL -> SOXL,15:55,SOXL,SOXL,13645.101335219724,876.8631280097179,6.867534218734805,0.0
2026-03-10,13645.101335219724,CASH,no change,no change,15:55,SOXL,SOXL,13643.736961523571,-1.3643736961530522,-0.0099990000999916,0.009999000099995
2026-03-11,13643.736961523571,SOXL,no change,no change,15:55,SOXS,SOXS,14132.09990301506,488.3629414914904,3.579392822279659,0.0
2026-03-12,14132.09990301506,SOXS,10:02,SOXS -> SOXL,15:55,SOXL,SOXL,15260.205139236316,1128.105236221254,7.982573318637343,0.0
2026-03-13,15260.205139236316,SOXL,no change,no change,no change,no change,SOXL,15366.834642105803,106.62950286948762,0.698742263924923,0.0
2026-03-16,15366.834642105803,SOXL,10:38,SOXL -> SOXL,15:55,SOXL,SOXL,16531.090684162755,1164.2560420569516,7.576420708444664,0.0
2026-03-17,16531.090684162755,SOXL,no change,no change,no change,no change,SOXL,16863.497646346626,332.40696218387166,2.0107987339415434,0.0
2026-03-18,16863.497646346626,SOXL,no change,no change,no change,no change,SOXL,16761.928852345998,-101.56879400062826,-0.602299689724406,0.6022996897244061
2026-03-19,16761.928852345998,SOXL,no change,no change,no change,no change,SOXL,16925.054491195493,163.12563884949486,0.9731913330885078,0.0
2026-03-20,16925.054491195493,SOXL,no change,no change,no change,no change,SOXL,15618.510459278326,-1306.5440319171666,-7.719585379159866,7.719585379159861
2026-03-23,15618.510459278326,SOXL,07:13,SOXL -> SOXS,15:55,SOXS,SOXS,16706.87939262342,1088.3689333450948,6.968455386208339,1.28906585609853
2026-03-24,16706.87939262342,SOXS,no change,no change,no change,no change,SOXS,16221.818588224443,-485.0608043989778,-2.903359705901432,4.154999343351461
2026-03-25,16221.818588224443,SOXS,no change,no change,no change,no change,SOXS,15571.129969480364,-650.6886187440796,-4.011194029850762,7.999528287601369
2026-03-26,15571.129969480364,SOXS,11:05,SOXS -> SOXL,15:55,SOXL,SOXL,16923.598405234647,1352.4684357542828,8.685743670530922,0.0086031389831203
2026-03-27,16923.598405234647,SOXL,no change,no change,no change,no change,SOXL,16094.518262908394,-829.0801423262528,-4.898958971218614,4.907140645952714
2026-03-30,16094.518262908394,SOXL,no change,no change,no change,no change,SOXL,14092.635169249794,-2001.8830936586,-12.438291478858131,16.73506766798972
2026-03-31,14092.635169249794,SOXL,10:07,SOXL -> SOXL,15:55,SOXL,SOXL,15146.682711209573,1054.0475419597788,7.479421196255154,10.507332670101826
2026-04-01,15146.682711209573,SOXL,09:43,SOXL -> SOXL,15:55,SOXL,SOXL,16151.672372879884,1004.9896616703118,6.6350479562534925,4.569451275432682
2026-04-02,16151.672372879884,SOXL,no change,no change,no change,no change,SOXL,16324.930423427011,173.2580505471269,1.0726941863806072,3.5457733272331247
2026-04-06,16324.930423427011,SOXL,no change,no change,no change,no change,SOXL,16925.14581282241,600.2153893954,3.676679617170464,0.0
2026-04-07,16925.14581282241,SOXL,19:33,SOXL -> SOXL,15:55,SOXL,SOXL,19573.81141290096,2648.665600078548,15.649292652308675,0.0
2026-04-08,19573.81141290096,SOXL,04:03,SOXL -> SOXS,15:55,SOXS,SOXS,22213.039446807827,2639.2280339068675,13.483465116902948,0.0
2026-04-09,22213.039446807827,SOXS,no change,no change,15:55,SOXL,SOXL,20699.31495622927,-1513.7244905785556,-6.814576160112518,6.814576160112518
2026-04-10,20699.31495622927,SOXL,no change,no change,no change,no change,SOXL,21997.249060540624,1297.9341043113527,6.270420576989921,0.9714581689009402
