Window Index,Window Period,Date,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day Start Equity,Day End Equity,PnL ($),Return %,Drawdown %
1,2024-04-10 to 2024-05-10,2024-05-10,SOXL,no change,no change,15:55,SOXS,SOXS,12277.125452719463,12676.712687883826,399.5872351643629,3.2547295920630326,2.8409862236261616
2,2024-05-10 to 2024-06-10,2024-06-10,SOXL,no change,no change,no change,no change,SOXL,13677.535584337536,14217.904041239652,540.368456902117,3.950773540819053,0.0
3,2024-06-10 to 2024-07-10,2024-07-10,SOXL,no change,no change,no change,no change,SOXL,13486.236404396192,14457.740528129008,971.5041237328168,7.203671169638781,12.714118741212303
4,2024-07-10 to 2024-08-10,2024-08-09,SQQQ,no change,no change,no change,no change,SQQQ,9138.41460401519,8981.182190206793,-157.2324138083968,-1.720565553452924,37.87976639411264
5,2024-08-10 to 2024-09-10,2024-09-10,TMF,10:14,TQQQ -> TQQQ,15:55,TQQQ,TMF,6949.109831015897,7047.655986724775,98.54615570887836,1.4181119323951163,21.528638018170504
6,2024-09-10 to 2024-10-10,2024-10-10,SOXL,08:40,TQQQ -> TQQQ,15:55,TQQQ,SOXL,6943.417495602118,6830.837110364109,-112.5803852380086,-1.6213973206899324,5.070870537740779
7,2024-10-10 to 2024-11-10,2024-11-08,SOXS,no change,no change,no change,no change,SOXS,6443.637853224421,6617.066920072867,173.42906684844638,2.6914775597089324,12.109040720550771
8,2024-11-10 to 2024-12-10,2024-12-10,SOXL,no change,no change,no change,no change,SOXL,6004.07554918836,5571.095811111419,-432.97973807694143,-7.211430544631847,15.807171388708433
9,2024-12-10 to 2025-01-10,2025-01-10,SOXS,no change,no change,no change,no change,SOXS,8731.785726696871,9378.484610469235,646.6988837723657,7.406261491221966,4.579418128280939
10,2025-01-10 to 2025-02-10,2025-02-10,SOXS,no change,no change,no change,no change,SOXS,5982.754143823036,5731.319043501844,-251.4351003211923,-4.202664764033292,39.44648701214256
11,2025-02-10 to 2025-03-10,2025-03-10,SOXL,no change,no change,no change,no change,SOXL,4648.119194486981,3965.842689242856,-682.276505244125,-14.67855011234127,31.08745794958179
12,2025-03-10 to 2025-04-10,2025-04-10,SQQQ,no change,no change,no change,no change,SQQQ,4226.4054424959295,4726.367595485718,499.9621529897886,11.82948867050797,0.0
13,2025-04-10 to 2025-05-10,2025-05-09,SOXL,07:27,TQQQ -> TQQQ,15:55,TQQQ,TQQQ,4043.823585990859,4069.260172499792,25.436586508932574,0.6290231501951071,20.188769749089133
14,2025-05-10 to 2025-06-10,2025-06-10,SOXL,08:00,TQQQ -> TQQQ,15:55,TQQQ,SOXL,4569.31661428318,4672.314156760204,102.99754247702458,2.2541126205845696,0.0
15,2025-06-10 to 2025-07-10,2025-07-10,SOXL,no change,no change,no change,no change,SOXL,5323.771561425969,5483.978735546235,160.20717412026625,3.009279648305485,0.0
16,2025-07-10 to 2025-08-10,2025-08-08,SOXL,no change,no change,no change,no change,SOXL,4916.372349262787,5063.112216315982,146.73986705319476,2.9847183376010555,8.101908475724516
17,2025-08-10 to 2025-09-10,2025-09-10,SOXL,no change,no change,no change,no change,SOXL,5441.714073642425,5734.341045954581,292.6269723121559,5.37747791140899,2.30673120356724
18,2025-09-10 to 2025-10-10,2025-10-10,SOXL,no change,no change,no change,no change,SOXL,7913.580749550729,6487.388706594774,-1426.192042955955,-18.022082393446517,19.38120256859312
19,2025-10-10 to 2025-11-10,2025-11-10,SOXL,08:01,SOXL -> SOXL,15:55,SOXL,SOXL,6128.094517058046,6590.46652206587,462.3720050078237,7.545118694249475,11.470136946571662
20,2025-11-10 to 2025-12-10,2025-12-10,SOXL,no change,no change,no change,no change,SOXL,8233.21492514179,8579.921885939299,346.70696079750815,4.211076280041803,0.0
21,2025-12-10 to 2026-01-10,2026-01-09,SOXL,no change,no change,no change,no change,SOXL,8221.887497081963,8981.225883105142,759.3383860231788,9.23557256521299,0.0
22,2026-01-10 to 2026-02-10,2026-02-10,SOXL,no change,no change,no change,no change,SOXL,9697.719686806144,9588.29204985005,-109.42763695609392,-1.1283852337469755,17.043106178461567
23,2026-02-10 to 2026-03-10,2026-03-10,SOXL,14:14,SOXL -> SOXL,15:55,SOXL,SOXL,12768.238207210006,13645.101335219724,876.8631280097179,6.867534218734805,0.0
24,2026-03-10 to 2026-04-10,2026-04-10,SOXL,no change,no change,no change,no change,SOXL,20699.31495622927,21997.249060540624,1297.9341043113527,6.270420576989921,0.9714581689009402
