cid,base_rebalance_threshold,controlplane_threshold_cap,controlplane_hysteresis_enter,controlplane_hysteresis_exit,controlplane_hysteresis_enter_days,controlplane_hysteresis_exit_days,eval_hhmm,terminal_equity,total_return_pct,avg_monthly_return_pct,median_monthly_return_pct,win_months,loss_months,avg_monthly_maxdd_pct,worst_month_return_pct,worst_month_maxdd_pct
UPG2Y-0002,0.04,0.4,0.6,0.54,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0003,0.04,0.4,0.6,0.56,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0006,0.04,0.4,0.62,0.56,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0007,0.04,0.4,0.64,0.54,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0010,0.04,0.5,0.6,0.54,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0011,0.04,0.5,0.6,0.56,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0014,0.04,0.5,0.62,0.56,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0015,0.04,0.5,0.64,0.54,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0018,0.04,0.6,0.6,0.54,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0019,0.04,0.6,0.6,0.56,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0022,0.04,0.6,0.62,0.56,3,2,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0023,0.04,0.6,0.64,0.54,3,1,15:55,20367.728327385088,103.67728327385089,6.086724444587504,5.718262461123135,15,9,19.302318389299906,-37.87976639411267,45.96848398831037
UPG2Y-0026,0.05,0.4,0.6,0.54,3,2,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
UPG2Y-0027,0.05,0.4,0.6,0.56,3,1,15:55,19557.280880708124,95.57280880708123,5.887489670961095,5.718262461123147,15,9,19.319232802020622,-37.87976639411267,45.968483988310375
