Window,Start Equity,Return %,PnL,Final Equity
1m,10000.00,155.8837,15588.37,25588.37
2m,25588.37,62.1074,15892.27,41480.64
3m,41480.64,123.3311,51158.53,92639.17
4m,92639.17,106.5393,98697.13,191336.30
5m,191336.30,195.3797,373832.29,565168.58
6m,565168.58,173.9643,983191.57,1548360.16
9m,1548360.16,70.4069,1090152.39,2638512.54
1y,2638512.54,98.0613,2587359.70,5225872.24
2y,5225872.24,151.5690,7920802.30,13146674.54
3y,13146674.54,131.3752,17271469.97,30418144.52
5y,30418144.52,190.1118,57828482.06,88246626.58
7y,88246626.58,15.1529,13371923.08,101618549.66
