window,period,start_equity,v1_final_equity,v1_return_pct,v1_maxdd_pct,v1_events,v1_variant_regimes_seen,v2_final_equity,v2_return_pct,v2_maxdd_pct,v2_events,v2_variant_regimes_seen,v2_minus_v1_equity,v2_minus_v1_return_pct,v2_vs_v1_diff_bps
1m,2026-02-25 to 2026-03-27,10000.0,19508.989836837496,95.08989836837496,7.999528287601359,8,1,14906.13604668267,49.0613604668267,8.27267070067973,8,2,-4602.853790154826,-46.02853790154826,2359.35013993578
2m,2026-01-25 to 2026-03-27,10000.0,21020.108235875323,110.20108235875324,8.66704569580889,11,2,16072.359641471796,60.72359641471796,16.376428800803208,13,2,-4947.748594403527,-49.47748594403528,2353.816897079118
3m,2025-12-25 to 2026-03-27,10000.0,14624.546478507096,46.245464785070965,22.704213841574788,12,3,21200.832441858118,112.00832441858117,16.376428800803186,18,3,6576.285963351022,65.7628596335102,4496.745231050982
4m,2025-11-25 to 2026-03-27,10000.0,18050.89332677282,80.50893326772821,29.044692603023503,15,3,26167.920175110386,161.67920175110388,16.376428800803197,21,3,8117.026848337566,81.17026848337566,4496.745231050981
5m,2025-10-25 to 2026-03-27,10000.0,22955.068534363105,129.55068534363105,29.044692603023563,20,3,23557.666621484233,135.57666621484233,16.376428800803197,27,3,602.5980871211286,6.025980871211289,262.51199652009575
6m,2025-09-25 to 2026-03-27,10000.0,14832.68094832519,48.3268094832519,29.04469260302352,22,3,25037.90044416518,150.3790044416518,17.360492864386565,31,3,10205.219495839992,102.0521949583999,6880.2258549168755
1y,2025-03-27 to 2026-03-27,10000.0,23643.357697744024,136.43357697744025,35.42609707057258,62,3,45708.51371640169,357.08513716401694,17.36049286438656,73,3,22065.156018657668,220.6515601865767,9332.496805545965
2y,2024-03-27 to 2026-03-27,10000.0,18241.95401664062,82.41954016640618,45.27001774988935,114,3,16345.79110595488,63.45791105954881,74.19558211063527,127,3,-1896.162910685738,-18.961629106857366,1039.451644794207
3y,2023-03-28 to 2026-03-27,10000.0,16919.506419140034,69.19506419140033,73.63070572481278,132,3,21993.867075218586,119.93867075218586,74.19558211063534,156,3,5074.360656078552,50.74360656078552,2999.118609239232
4y,2022-03-28 to 2026-03-27,10000.0,22991.29676854431,129.9129676854431,73.6307057248128,261,3,25302.60405151487,153.0260405151487,74.19558211063514,293,3,2311.3072829705598,23.1130728297056,1005.296615601426
5y,2021-03-28 to 2026-03-27,10000.0,18645.208444040833,86.45208444040833,73.63070572481281,292,3,21019.21395578334,110.1921395578334,74.19558211063521,335,3,2374.005511742507,23.740055117425072,1273.2523312182436
7y,2019-03-29 to 2026-03-27,10000.0,12228.862836777307,22.28862836777308,73.63070572481281,541,3,108408.06956348642,984.0806956348641,74.19558211063521,714,3,96179.20672670912,961.792067267091,78649.34623148933
