Window,Period,CPU Final Equity,CPU Return %,CPU PnL,CPU MaxDD %,GPU Final Equity,GPU Return %,GPU PnL,GPU MaxDD %,CPU-GPU Diff (bps),GPU Backend,_ok,_summary_json
1m,2026-02-24 to 2026-03-24,18771.8886282405,87.71888628240501,8771.8886282405,7.719585379159848,18771.8886282405,87.71888628240501,8771.8886282405,7.719585379159848,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_1m_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-02-24_to_2026-03-24_paper_live_style_optimistic.json
2m,2026-01-24 to 2026-03-24,20011.57116933294,100.11571169332937,10011.57116933294,7.71958537915985,20011.57116933294,100.11571169332937,10011.57116933294,7.71958537915985,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_2m_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2026-01-24_to_2026-03-24_paper_live_style_optimistic.json
3m,2025-12-24 to 2026-03-24,15370.287920719687,53.70287920719687,5370.2879207196875,22.848277341027917,15370.287920719687,53.70287920719687,5370.2879207196875,22.848277341027917,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_3m_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-12-24_to_2026-03-24_paper_live_style_optimistic.json
4m,2025-11-24 to 2026-03-24,18904.784366365242,89.04784366365242,8904.784366365242,28.96545672025412,18904.784366365242,89.04784366365242,8904.784366365242,28.96545672025412,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_4m_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-11-24_to_2026-03-24_paper_live_style_optimistic.json
6m,2025-09-24 to 2026-03-24,19371.197691392725,93.71197691392726,9371.197691392725,28.96545672025412,19371.197691392725,93.71197691392726,9371.197691392725,28.96545672025412,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_6m_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-09-24_to_2026-03-24_paper_live_style_optimistic.json
1y,2025-03-24 to 2026-03-24,33799.494557462094,237.99494557462094,23799.494557462094,28.965456720254075,33799.494557462094,237.99494557462094,23799.494557462094,28.965456720254075,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_1y_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2025-03-24_to_2026-03-24_paper_live_style_optimistic.json
2y,2024-03-24 to 2026-03-24,20294.213121558136,102.94213121558138,10294.213121558136,42.210765437464595,20294.213121558136,102.94213121558138,10294.213121558136,42.210765437464595,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_2y_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2024-03-24_to_2026-03-24_paper_live_style_optimistic.json
3y,2023-03-24 to 2026-03-24,9673.522256250166,-3.264777437498345,-326.4777437498342,86.70151407017853,9673.522256250166,-3.264777437498345,-326.4777437498342,86.70151407017853,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_3y_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2023-03-24_to_2026-03-24_paper_live_style_optimistic.json
4y,2022-03-24 to 2026-03-24,14073.11410838163,40.731141083816304,4073.114108381629,86.70151407017855,14073.11410838163,40.731141083816304,4073.114108381629,86.70151407017855,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_4y_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2022-03-24_to_2026-03-24_paper_live_style_optimistic.json
5y,2021-03-24 to 2026-03-24,16183.958933902702,61.83958933902702,6183.9589339027025,86.70151407017853,16183.958933902702,61.83958933902702,6183.9589339027025,86.70151407017853,0.0,cupy_available_cpu_logic,True,/home/chewy/projects/trading-compose-dev/switch_runtime_v1/reports/multiwindow_intraday_pl5m_2026-03-24_parallel/multiwin_5y_aggr_intraday_pl5m_2026-03-24_parallel_aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_2021-03-24_to_2026-03-24_paper_live_style_optimistic.json
