Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2022-03-21,8105.13,8103.51,-1.62,-0.02,58.5954,"{""SPXS"": 24.757574428062377, ""SQQQ"": 5.272747557235337}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-22,7720.47,7718.93,-1.54,-0.02,60.5605,"{""SOXL"": 66.94823816702211, ""SPXL"": 22.456285123388568, ""TQQQ"": 96.25547662309972}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-23,7324.8,7324.79,-0.01,-0.0002,62.5743,"{""SOXL"": 68.52618763639948, ""SPXL"": 22.142008806360685, ""TQQQ"": 95.4122434965765}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-24,7951.63,7905.81,-45.82,-0.5762,59.6056,"{""SOXL"": 64.48157425430757, ""SPXL"": 22.874420100456124, ""TQQQ"": 96.7004203738372}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2022-03-25,7932.93,7932.92,-0.01,-0.0001,59.4671,"{""SOXL"": 64.82737088941397, ""SPXL"": 22.64156570407737, ""TQQQ"": 97.1812943811118}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-28,8157.77,8157.76,-0.01,-0.0001,58.3183,"{""SOXL"": 65.50847419554445, ""SPXL"": 22.778085515989925, ""TQQQ"": 95.61381026220288}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-29,8577.05,8577.04,-0.01,-0.0001,56.176,"{""SOXL"": 64.5959186424041, ""SPXL"": 23.103154417073178, ""TQQQ"": 95.61897264143018}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-30,8174.43,8174.41,-0.03,-0.0003,58.2332,"{""SOXL"": 67.86513046704775, ""SPXL"": 22.419049223698845, ""TQQQ"": 93.95900836718474}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-03-31,7768.02,7768.02,-0.01,-0.0001,60.3097,"{""SOXL"": 68.75555366389266, ""SPXL"": 22.3257532188347, ""TQQQ"": 93.14175749354129}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2022-04-01,7607.42,7607.4,-0.02,-0.0003,61.1303,"{""SOXL"": 71.95753197033021, ""SPXL"": 21.72182625008156, ""TQQQ"": 91.61148831049572}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
