Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-10-16,18495.46,18495.46,0.0,0.0,26.7095,"{""SOXS"": 233.17528264108165}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-17,18679.67,18679.67,0.0,0.0,25.9796,"{""SOXS"": 233.17528264108165}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-20,17760.96,17760.96,0.0,0.0,29.6201,"{""SOXS"": 233.17528264108165}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-21,18036.11,18036.11,0.0,0.0,28.5298,"{""SOXS"": 233.17528264108165}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-22,19323.24,20061.61,738.37,3.8212,20.5035,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-10-23,18630.88,18630.88,0.0,0.0,26.1729,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-24,17769.06,17769.06,0.0,0.0,29.588,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-27,16241.5,16241.5,0.0,0.0,35.6411,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-28,16193.08,16193.08,0.0,0.0,35.833,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-29,15428.09,15428.09,0.0,0.0,38.8643,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-30,16001.84,16001.84,0.0,0.0,36.5908,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-10-31,15859.01,15859.01,0.0,0.0,37.1568,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-03,15619.34,15619.34,0.0,0.0,38.1065,"{""SOXS"": 242.08527108463736}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-04,17434.98,17222.81,-212.17,-1.2169,31.7525,"{""SOXL"": 402.40211206113344}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-05,18844.49,19094.75,250.26,1.328,24.3348,"{""SOXS"": 292.3709733546342}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-06,20594.61,20631.3,36.69,0.1781,18.246,"{""SOXL"": 479.6861120292445}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-07,20022.1,20022.1,0.0,0.0,20.66,"{""SOXL"": 479.6861120292445}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-10,21566.69,21394.33,-172.36,-0.7992,15.2224,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-11,19895.39,19895.39,0.0,0.0,21.1621,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-12,20799.51,20799.51,0.0,0.0,17.5794,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-13,18662.93,18662.93,0.0,0.0,26.0459,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-14,18491.63,18491.63,0.0,0.0,26.7247,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-17,17530.4,17530.4,0.0,0.0,30.5337,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-18,16345.53,16345.53,0.0,0.0,35.2289,"{""SOXL"": 475.85245306922747}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-19,17111.65,17390.83,279.18,1.6315,31.0867,"{""SOXL"": 483.61601933342786}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-20,14900.21,18570.14,3669.93,24.6301,26.4136,"{""SOXL"": 602.730904331421}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-21,19124.65,19124.65,0.0,0.0,24.2163,"{""SOXL"": 602.730904331421}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-24,21613.93,21443.17,-170.76,-0.7901,15.0289,"{""SOXL"": 597.9689596002214}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-25,21628.54,21628.54,0.0,0.0,14.2943,"{""SOXL"": 597.9689596002214}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-11-26,23434.4,23520.65,86.25,0.368,6.7966,"{""SOXL"": 600.1696862726926}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-11-28,24763.0,24763.0,0.0,0.0,1.8736,"{""SOXL"": 600.1696862726926}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
