Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2026-01-20,12495.67,12495.67,0.0,0.0,22.7431,"{""SOXS"": 287.91876564872496}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-01-21,11344.0,11341.73,-2.27,-0.02,29.8776,"{""SOXL"": 178.66620657756383}",variant=inverse_ma60;variant_reason=baseline_to_inv60_rule3_3d;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-22,11384.61,11384.61,0.0,0.0,29.6125,"{""SOXL"": 178.66620657756383}",variant=inverse_ma60;variant_reason=inv60_hold;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-23,11005.84,11005.84,0.0,0.0,31.9543,"{""SOXL"": 178.66620657756383}",variant=inverse_ma20;variant_reason=inv60_to_inv20_transition;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-26,10845.04,10845.04,0.0,0.0,32.9485,"{""SOXL"": 178.66620657756383}",variant=inverse_ma20;variant_reason=inv20_hold;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-27,11606.16,11552.07,-54.09,-0.466,28.5772,"{""SOXL"": 177.83356939369344}",variant=inverse_ma20;variant_reason=inv20_hold;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-28,12464.35,12358.99,-105.37,-0.8453,23.5882,"{""SOXL"": 176.33026581084548}",variant=inverse_ma20;variant_reason=inv20_hold;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-29,12425.99,12425.99,0.0,0.0,23.1739,"{""SOXL"": 176.33026581084548}",variant=inverse_ma20;variant_reason=inv20_hold;vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2026-01-30,10895.45,10893.27,-2.18,-0.02,32.6503,"{""SOXS"": 276.4788896678783}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-02,10229.72,10229.72,0.0,0.0,36.7528,"{""SOXS"": 276.4788896678783}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-03,10893.27,11377.6,484.33,4.4461,29.6559,"{""SOXS"": 288.7714556366698}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-02-04,12879.21,13354.74,475.53,3.6923,17.4318,"{""SOXL"": 251.07616537997652}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-02-05,13369.81,13369.81,0.0,0.0,17.3387,"{""SOXL"": 251.07616537997652}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-06,15503.95,15313.84,-190.11,-1.2262,5.3193,"{""SOXS"": 409.4609196529161}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-02-09,14822.49,14822.49,0.0,0.0,8.3572,"{""SOXS"": 409.4609196529161}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-10,14904.38,14904.38,0.0,0.0,7.8509,"{""SOXS"": 409.4609196529161}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-11,13757.89,13757.89,0.0,0.0,14.9393,"{""SOXS"": 409.4609196529161}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-12,14822.49,14603.37,-219.12,-1.4783,9.7119,"{""SOXS"": 403.40798231961986}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-02-13,14199.96,14199.96,0.0,0.0,12.2061,"{""SOXS"": 403.40798231961986}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-17,14280.64,15098.96,818.32,5.7303,6.6478,"{""SOXS"": 426.5243257593641}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-02-18,14587.13,14587.13,0.0,0.0,9.8123,"{""SOXS"": 426.5243257593641}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-19,14928.35,14925.37,-2.99,-0.02,7.7211,"{""SOXL"": 228.81137559151617}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-20,15355.53,15352.46,-3.07,-0.02,5.0805,"{""SOXS"": 451.5429593159818}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-23,15713.69,15713.69,0.0,0.0,2.8471,"{""SOXS"": 451.5429593159818}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-24,14991.23,14991.23,0.0,0.0,7.3139,"{""SOXS"": 451.5429593159818}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-25,14359.07,14359.07,0.0,0.0,11.2224,"{""SOXS"": 451.5429593159818}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-02-26,15533.08,16015.73,482.66,3.1073,0.9797,"{""SOXS"": 465.5736789952198}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-02-27,16667.54,16667.54,0.0,0.0,0.0,"{""SOXS"": 465.5736789952198}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-02,16667.54,16667.54,0.0,0.0,0.0,"{""SOXS"": 465.5736789952198}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-03,19181.64,19341.65,160.01,0.8342,0.0,"{""SOXS"": 469.4574949752212}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-04,18121.06,18121.06,0.0,0.0,6.3107,"{""SOXS"": 469.4574949752212}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-05,18820.55,19548.99,728.44,3.8705,0.0,"{""SOXS"": 487.6276995710604}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-06,22026.14,21929.99,-96.16,-0.4366,0.0,"{""SOXL"": 457.92414222172715}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-09,24416.52,24129.79,-286.72,-1.1743,0.0,"{""SOXL"": 452.54671268797097}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-10,24704.53,25620.06,915.54,3.7059,0.0,"{""SOXL"": 469.31785222871645}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-11,26324.04,26318.77,-5.26,-0.02,0.0,"{""SOXS"": 697.5556334553546}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-12,29122.95,28910.69,-212.26,-0.7288,0.0,"{""SOXL"": 574.9938049579159}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-13,29163.69,29163.69,0.0,0.0,0.0,"{""SOXL"": 574.993804957916}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-16,30871.42,31369.07,497.65,1.612,0.0,"{""SOXL"": 584.2627587615563}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-03-17,32105.24,32105.24,0.0,0.0,0.0,"{""SOXL"": 584.2627587615563}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-18,31561.87,31561.87,0.0,0.0,1.6924,"{""SOXL"": 584.2627587615563}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-19,32046.81,32046.81,0.0,0.0,0.182,"{""SOXL"": 584.2627587615563}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-03-20,29879.2,29879.2,0.0,0.0,6.9336,"{""SOXL"": 584.2627587615563}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
