Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2024-03-19,12473.13,12924.29,451.16,3.6171,39.7855,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2024-03-20,12251.48,12251.48,0.0,0.0,42.9201,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-03-21,11472.42,11472.42,0.0,0.0,46.5498,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-03-22,11401.72,11401.72,0.0,0.0,46.8792,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-03-25,11543.31,11543.31,0.0,0.0,46.2195,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-03-26,11826.5,11826.5,0.0,0.0,44.9001,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-03-27,11401.72,11401.72,0.0,0.0,46.8792,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-03-28,11366.18,11366.18,0.0,0.0,47.0448,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-04-01,11012.1,11012.1,0.0,0.0,48.6944,"{""SOXS"": 19.108600442150557}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-04-02,11507.77,11657.12,149.34,1.2978,45.6893,"{""SOXS"": 19.356586710289054}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2024-04-03,11585.5,11585.5,0.0,0.0,46.0229,"{""SOXS"": 19.35658671028905}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2024-04-04,12625.72,12440.9,-184.82,-1.4638,42.0376,"{""SOXS"": 19.07324413330093}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
