Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-03-19,8213.52,8212.7,-0.82,-0.01,44.7479,"{""SPXS"": 60.92211780645365, ""TMV"": 121.26221770430475}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-20,8226.18,8226.17,-0.0,-0.0001,44.6573,"{""SPXS"": 60.58460142175826, ""TMV"": 121.9414173787113}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-21,8309.09,8308.25,-0.84,-0.0101,44.1051,"{""SPXS"": 61.19526264931965, ""SQQQ"": 24.34050550448054}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-24,7836.31,7836.31,-0.0,-0.0001,47.2802,"{""SPXS"": 60.83147921917877, ""SQQQ"": 24.486912634946172}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-25,7739.51,7739.5,-0.0,-0.0001,47.9314,"{""SPXS"": 60.49326282814332, ""SQQQ"": 24.62456058802731}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-26,8085.91,8085.9,-0.01,-0.0001,45.601,"{""SPXS"": 61.05325033130073, ""SQQQ"": 24.400710086033847}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-27,8186.58,8185.76,-0.82,-0.01,44.9292,"{""SPXS"": 61.35945167895007, ""TMV"": 111.84657995698727}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-28,8279.66,8279.62,-0.04,-0.0005,44.2977,"{""SPXS"": 58.373267069659704, ""TMV"": 117.87556232269216}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-31,8091.15,8091.14,-0.0,-0.0,45.5657,"{""SPXS"": 58.084339588813606, ""TMV"": 118.46472117140544}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-01,7946.82,7946.81,-0.01,-0.0001,46.5367,"{""SPXS"": 57.61903517558908, ""TMV"": 119.42898253296781}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-02,7878.41,7878.4,-0.01,-0.0001,46.9969,"{""SPXS"": 58.19468393694887, ""TMV"": 118.25895975996372}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-03,8393.15,8392.25,-0.9,-0.0107,43.54,"{""SQQQ"": 20.75970564608023, ""TMV"": 127.72215884566292}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-04,9030.61,9029.61,-0.99,-0.011,39.252,"{""SPXS"": 49.42320378030782, ""TMV"": 141.95943987770943}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-07,9460.57,9459.63,-0.95,-0.01,36.3591,"{""SPXS"": 51.54840846159305, ""TMV"": 136.31294024070712}",variant=baseline;variant_reason=override_dd20_ge_12;close_below_trail;vol_target_off;persistence_off;inverse_blocker_off
2025-04-08,9960.13,9960.13,-0.0,-0.0,32.9919,"{""SPXS"": 51.74089569639155, ""TMV"": 135.80760612292147}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-09,8489.79,8488.8,-0.98,-0.0116,42.8904,"{""SPXS"": 61.298092680117456, ""SQQQ"": 26.04745394010344}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-10,9401.39,9401.39,-0.01,-0.0001,36.7509,"{""SPXS"": 61.68885079257689, ""SQQQ"": 25.883466693153284}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-11,8915.58,8915.58,-0.0,-0.0,40.0192,"{""SPXS"": 61.66540773058966, ""SQQQ"": 25.893308468508522}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-14,8699.95,8699.08,-0.87,-0.01,41.4757,"{""SPXS"": 123.68943673243841}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-15,8759.69,8758.81,-0.88,-0.01,41.0739,"{""SPXS"": 61.8447183662192, ""SQQQ"": 26.06993554618566}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-16,9445.39,9444.43,-0.96,-0.0101,36.4613,"{""SPXS"": 62.5439377379387, ""TMV"": 128.5526200907527}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-17,9579.24,9579.23,-0.01,-0.0001,35.5544,"{""SPXS"": 63.346205674987, ""TMV"": 126.94457312999793}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-21,10164.42,10164.41,-0.01,-0.0001,31.6175,"{""SPXS"": 62.8986398543092, ""TMV"": 127.854160208496}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
