Profile,Window,Mode,Start Equity,CPU Final Equity,CPU Return %,CPU PnL,CPU MaxDD %,CPU Trades,GPU Backend,GPU Final Equity,GPU Return %,CPU-GPU Diff (bps),Sharpe,Sortino,Calmar,Worst Day %,Best Day %,Bootstrap P10 %,Bootstrap P50 %,Bootstrap P90 %
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,1m,realistic_close,10000.0,25588.37,155.8837,15588.37,46.0221,22,cpu_emulated_fallback,25588.37,155.8837,0.0,7.3808,17.4127,10189.4177,-6.7639,15.0608,84.4726,141.3384,209.7301
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,2m,realistic_close,10000.0,16210.74,62.1074,6210.74,46.0221,33,cpu_emulated_fallback,16210.74,62.1074,0.0,4.3917,8.3213,349.6327,-12.3348,15.9393,53.7323,151.0717,331.4944
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,3m,realistic_close,10000.0,22333.11,123.3311,12333.11,46.0221,38,cpu_emulated_fallback,22333.11,123.3311,0.0,3.359,6.0518,42.818,-12.3348,15.9393,-9.7187,80.1943,295.2688
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,4m,realistic_close,10000.0,20653.93,106.5393,10653.93,46.0221,45,cpu_emulated_fallback,20653.93,106.5393,0.0,2.5197,4.0327,17.2608,-14.5112,15.9393,-10.763,113.3789,377.0557
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,5m,realistic_close,10000.0,29537.97,195.3797,19537.97,46.0221,52,cpu_emulated_fallback,29537.97,195.3797,0.0,1.9022,2.9935,8.0562,-14.5112,15.9393,-17.9006,95.0387,374.3748
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,6m,realistic_close,10000.0,27396.43,173.9643,17396.43,46.0221,63,cpu_emulated_fallback,27396.43,173.9643,0.0,1.021,1.5305,1.5339,-19.0104,15.9393,-48.0208,39.3225,255.7548
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,9m,realistic_close,10000.0,17040.69,70.4069,7040.69,53.3291,105,cpu_emulated_fallback,17040.69,70.4069,0.0,1.3099,1.9715,2.5417,-19.0104,15.9393,-33.5647,91.1233,453.9726
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,1y,realistic_close,10000.0,19806.13,98.0613,9806.13,56.5545,283,cpu_emulated_fallback,19806.13,98.0613,0.0,1.4521,2.2064,3.0579,-19.0104,15.9393,-15.6115,139.3764,634.2844
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,2y,realistic_close,10000.0,25156.9,151.569,15156.9,65.0152,504,cpu_emulated_fallback,25156.9,151.569,0.0,0.79,1.1652,0.6285,-21.1521,22.8072,-54.7285,80.0706,823.7808
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,3y,realistic_close,10000.0,23137.52,131.3752,13137.52,65.0152,566,cpu_emulated_fallback,23137.52,131.3752,0.0,0.7043,1.0287,0.4,-21.1521,22.8072,-69.7532,100.2109,1219.1579
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,5y,realistic_close,10000.0,29011.18,190.1118,19011.18,84.5905,1178,cpu_emulated_fallback,29011.18,190.1118,0.0,0.5984,0.8789,0.1832,-21.1521,22.8072,-84.9698,52.402,2079.7508
aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m_switch_v1,7y,realistic_close,10000.0,11515.29,15.1529,1515.29,84.5905,1495,cpu_emulated_fallback,11515.29,15.1529,0.0,0.5124,0.7541,0.0738,-24.9254,33.1993,-90.0577,43.6951,1908.554
